date_written,title,content
"February 26, 2020",Amazing spectacle,"This is well worth a visit if you are in London.  It is very tourist friendly with lots of information about and the tube station Tower Hill is just adjacent.  You can get some lovely photos of the outside if you walk along the river but if you pay to go in there is lots to see and the history is fascinating, especially Traitor's Gate.  The Beefeaters are very friendly and knowledgeable and everything is clearly laid out and helpful."
"January 4, 2020",Homogenized History Along The Thames ,"This is my favorite tourist attraction in London - but it has been 20 years since my last visit. It's so crowded now and you need to get there early to beat the mobs of people. The Yeoman Warder tours are worth doing and they provide you with lots of historical facts with a bit of humor. The line to see the Crown Jewels was ridiculous (my husband didn't want to see them and I already have) so we headed to the White Tower - where they now snake you thru the building like you are in Disney - a bit disappointing. But the artifacts, ravens, architecture and views of the Thames are worth checking out. "
"February 20, 2020",A great place but without great display,"I came here with very high expectations. The first thing we did was seeing the Crown Jewels. These were stunning and the highlight of the visit. Then to the exhibition on the Royal Menagerie. This was interesting to read about and it had some funny stories in there, such as the polar bear in the Thames, but it was difficult to visualise. We moved onto the little Fusiliers museum on site, which had some amazing collections of medals on display. Then onto the White Tower where the armour is housed. Once again this was fantastic but lacked atmosphere, a crucial part of a historic site. After this, we visited the Chapel Royal of St Peter ad Vincula. The graves of Anne Boleyn and Catherine Howard are in here but not clearly visible. As good as seeing these graves was, the place, as with other locations, felt sterile. Beauchamp Tower showed clearly how, in my opinion, the atmosphere here was lost. There is a huge sign column in the middle of one of the important rooms, causing a build up of human traffic. I think it would be better to put signs on the walls to provide more space. Since we were on a time limit, the last room we visited was the Bloody Tower. Inside is a miniature cinema. This, as with Beauchamp Tower, took away the historic feel to the place. I also think having a dedicated shop for every major aspect of the Tower is not great either. My views may change if we spent more time here and did everything but overall, a fantastic historic site with a not so fantastic showing of the history."
"February 13, 2020",Part of History,We didn't have time to go through the tower to see the Jewel amongst other historical artefacts but looking at the building itself was quite impressive. The tower is quite large and located beside the iconic Tower Bridge so it is fairly easy to find. The masonry and stonework visible from the outside was enough to get me excited about going in. We were told you would need about 1.5-2 hours to go through the tower when booking tickets which was why we didn't end up going in since we would have only had an hour. It was nice that they weren't all about just selling tickets. We went to get tickets at the kiosk but think you were also able to do it online. It was disappointing we didn't get to go in but it is now on the list for the next visit.
"April 30, 2022",Crown jewels. ,My first visit with my wife to view the crown jewels and visit the Tower.Our Beefeater Andy gave a great presentation to our group about the Tower's history and its significance in the history of England. We enjoyed our day here and sampled the delights of the cafe and bought some very reasonably priced souvenirs. The staff here are very polite and courteous. They go the extra mile to make your visit a pleasant one. This is a premium attraction of London and should not be missed when visiting London.Thankyou all! 
"November 15, 2021",Fantastic,"Absolutely loved this visit. We booked tickets easily on line and admission as quick and smooth with friendly staff . Yeoman tour was so interesting and entertaining and pointed out all places of interest to look round after the tour.  Their knowledge is amazing , so many interesting and informative stories   Well organised and signposted . Very chilled as not too busy felt really comfortable . When I first booked I thought it seemed a bit expensive but was actually worth every penny . Good facilities available , toilets cafe etc ,"
"April 16, 2022",Badly organised with lengthy queues. Misleading website advice.,Spent almost £70 on tickets and followed their website’s advice of allowing around 3 hours for the visit. (Booked elsewhere afterwards based approximately on this timing. )Queued for around 1.5 hours in total whilst there - so basically paid £35 to stand in queues. Didn’t have enough time to visit most of the exhibits. Very disappointed at poor management. Pretty sure they knew what numbers were expected - why were better systems not in place to manage this?  And don’t get me started on the queue for the single ice cream truck.  Fully disappointed and annoyed at wasting my money.
"June 29, 2023","Good value,  amazing history and beautifully preserved","We got there half an hour after opening which wasn't busy but I recommend arriving 10 minutes before as you will beat the crowds and the many school groups.  We got a head set for the self tour but a private tour guide would have been more enriching. Go to see the crown jewels 1st as the queue gets quite big quickly. Lots of stairs so if mobility is a problem your access to many areas will be limited. Some areas are quite small and I feel they need better crowd control in those spots but overall it is a very big place so you mostly move freely. As expected,  the food and drinks inside are expensive (a latte made by an automatic coffee machine is £5)Good value 4 hours overall.  Absolutely amazing"
"June 26, 2020",So much to see and do here,"This was a great way to spend a portion of our day. Start with the Beefeater tour to get some information about the history of the area. They're funny and give a lot of details in a short amount of time. There's a little bit of everything to be found here, especially if you find the medieval era, monarchy, armor, jewels, architecture, swords, churches, palaces, ravens, and amazing views interesting. It is easy to spend hours wandering around to all the different buildings and displays. For those with disabilities, there are stairs in several buildings so getting around will present some challenges."
"June 6, 2021",Brilliant day out!,We came here with our two children and had a great time. It was fascinating to see the Towers close up and to see the Crown Jewels. My daughter particularly enjoyed this bit! The place is steeped in History and you find out so much as you're walking around. It was a glorious day too and the =ir weren't massive amounts of people there. My only disappointment was that we did not have enough time to really look around! This is not the Tower of London's fault though. The tube trains on the central and district line were closed so we had to walk about 50 minutes from our hotel. We then had to be at another attraction at 2! I would definitely recommend checking TFL for any train disruptions as this place really does need a good couple of hours to absorb it all in.
