date_written,title,content
"February 20, 2020",A good family outing,An absolutely excellent stop on the tourist trail. I highly recommend going early in the morning to avoid queues. Go see the Crown Jewels first for the same reason. The White Tower had a great interactive room for kids of all ages. 
"January 30, 2020",weekend break,"I’ve been before but decided to get the audio tour device and it was well worth the extra money . Took my time and learnt a lot about my counties history that I didn’t know ,even the pouring down with rain didn’t spoil the day .The only down point was all the children on school days out who were not interested ,rude and disruptive.Just a note book on line it’s a lot cheaper then you can afford the Audio device .Overall it’s a fantastic day out ."
"January 15, 2020","You can spend an entire day here, and enjoy the entire day, if you like History","We bought our tickets in advance and printed them and had no issues. We came when it opened and picked up our headphones for the audio tour. We skipped the Beefeater tour as it had over 50 people in it. The audio tour takes you first through the outer walls before starting on the inside where the crown jewels etc are. If you have loads of time, do it this way. If you're in a hurry, go straight to the jewels. It was everyone's favorite part of the tour, they were absolutely breathtaking.Accessibility - There are lots of stairs and even footing. The outer walls are a long walk of stairs and uneven surfaces. The jewels were on ground level and i do not recall more than a few stairs to see them. We visited late November and it was quite chilly, I can imagine just how hard it would be to do this tour during summer, so i would choose earlier in the day if you plan to visit during the hotter months."
"January 12, 2020",Wonderful family experience ,"Our family visited on a cold, very crowded day in late December. We thoroughly enjoyed our visit and loved the touch of the Charles Dickens -type actors with the Christmas theme. We waited a while to see the Jewels but well worth it. Can’t imagine a visit to London being complete without a visit to Tower of London "
"October 24, 2023",Tower of London- a historical fort.,"The Tower of London is a lovely historic monument in the heart of the city. Located next to Tower Bridge, the tickets can be purchased in advance which is the best to avoid waiting in queues. Once you enter look out for the hourly tour by the Yeoman Wardens also known as Beafeaters, the care takers of this historic fort, castle and Crown Jewels. They have lots to share if the history of all whole lived and died at the tower during its almost 1,000 year history. There are multiple museums inside and many buildings. However we recommend that the Crown Jewels, the White Tower and the superstition surrounding the ravens not be missed. We were fortunate to see lots of actors portraying kings and queens past who were dressed up and moving around the property. They kept the kids very engaged. The property has two bathrooms at different locations, some food available and lots to learn about the History of England. It can get a bit tiring for the kids, so we recommend doing this as a morning activity or a time when the kids are fresh."
"January 7, 2022",This is kind of detailed!,"Ok, so this is definitely a must see, per what everyone else has said. So I am going to focus on details because as a tourist I didn't seem to be able to drudge up a brain cell when planning this visit.  *It is not cheap and nonrefundable (although they WILL try to work on a change of date) so be sure you are going to make it and make it on time. Give yourself lots of time to get there if you are using public transport because they give you an hour window. We did go early and it was nice to beat the crowds for sure. * I wondered what to wear. Sounds dumb but I am from the desert and had this idea we would be indoors mostly but the tour is outside so you def want to wear layers. There are stairs but I think if you have comfortable walking shoes on it is fine. The indoors isn't super hot but crowded which can feel stuffy. * did I use the tour book. Not really and kind of ... shouldn't have bought it. It is lovely but to pack and bring home and didn't open it really except once to see what it considered ""must sees"". *there is coffee and little snacks inside so if you are running late you WILL be able to get some stuff inside. Prices are reasonable.* I was confused about the beefeater tour thing - you just join a tour at the hour with an available beefeater. Ours was entertaining. We got there early so did the 10am tour and THEN the jewels. It seemed still fine at that time, but if you get there at 9 you can easily see the jewels, get coffee, etc and then join the 10am tour. "
"January 2, 2020",Stunning!! But be prepared to queue.,"This is a must see when you are in London. It has so much history and there is just so much to see. You really probably need a good half a day to do it justice. One of the main attractions if not the main attraction is the Crown Jewels. They are worth lining up for and you will be lining up. It took me a about 45 minutes to get inside. That was at around 11.30 am. It is worth noting that don't think that you will come back later when the line is shorter. The staff told me at the time that the line was actually quite short and that it would get much longer later. It certainly did, at around 1.00pm the line was far longer. My advice just go and line or try getting there earlier than later. Once inside the Crown Jewels are breathtaking. With something like £3 billion pounds were of riches housed there. With such value you will be equally impressed by the vault that houses them. The doors on the vault are almost as amazing as the jewels themselves. I can also recommend doing a Yeoman Warder tour (the Yoeman Warders are commonly referred to as a Beefeaters). The tour is filled with the history of the Tower which at times can be a bit grim, but they also put some appropriately placed humour throughout as well. The tour is well worth doing.Just always keep in mind that the queues are going to be big. So be prepared and patient. They are sites worth waiting for."
"January 16, 2020",The story of London in a nutshell,"The castle of London, named ""tower"", is a must go. Highly recommended are the tours guided by the Yeoman warders (or Beefeaters, which they don't really like being named that...).If the queue to the royal jewels is too long, don't worry. It will go quickly, as the system inside is made so people will not spend too much time admiring them (there is really a treadmill so you wont stop too long!).The ravens are worth a visit, as is the White Tower and their collection of old armours.All the family had a blast here. Make sure you have at least half a day to enjoy it properly."
"August 29, 2021",Pure history,"Visited Sunday 10am on 29th August 21, had to pre book tickets which were easy to do. Easy to gain entry and pass security checks. Various hand sanitizer stations around the whole site. If you love history then well worth the visit, traitors gate, the torture tower, prison tower, the main tower with Henry 8ths armour and other kings and queens equipment. The crown jules is worth seeing and you go on an escalator which keeps people moving. Be warned lots of steep steps around the towers etc so if you struggle with steps maybe just visit and do the ground stuff. Guards on duty same as Windsor castle, ravens roam free around the grounds who are used to people. Plenty of staff around to ask questions too and gain knowledge from. Per visit it takes 2-3hrs to complete. As usual gift shops around. If you live old British history with kings including Charles 1,2 Henry 3, 8 then worth the visit."
"September 26, 2021",Triple Check Closing Times,"We were a family of 4 adults and managed to get a 2 for 1 deal which I thought made the admission costs just about worth it. We started off with a Yoeman’s Tour which I thought was very good, it wasn’t too short or too long and gave me a good sense of foundational knowledge to look around afterwards. I was very surprised at how beautiful I found the jewels however I did feel like the wording of how we “occupied” some of the jewels was a little too generous. Unfortunately we hadn’t realised that the winter closing times had come into effect since we planned the trip and ended up with only 3 hours to view the place. Which meant we missed a few areas and rushed around some of the exhibits, so do allow plenty of time to look around. In our research we read that the closing time listed was the closing time for the buildings but you would have half an hour to look around after that. This is wrong, we were all ushered out a little before closing time and they wouldn’t even allow my family members outside to wait for me until I could leave the building and were politely threatened with security which left us all feeling a little sour with the place after a pleasant afternoon."
"January 5, 2020",Amazing Historic Insight,"Had an entertaining time visiting the Tower of London 4/1/20. It was a fascinating insight into the amazing and often shocking history of London. Yeoman Warden 409 Scotts’ commentary of the events was both informative and entertaining as he sought to involve us in his talk. He even encouraged us to learn more about the history with our own research, something I know I will be doing. I actually would have liked a longer tour with more insight, more information. The Crown Jewels were breathtakingly beautiful.I would highly recommend this visit to everyone, age is no limit"
"August 4, 2021",Step back into history,"Fantastic tour of The Tower of London. I was worried whether it would be worth the cost, but it definitely was. The Beefeater who conducted our tour was fantastic, really bought the site to life with his stories and facts about the tower. The stewards are all so friendly and helpful. Definitely recommend this for children over the age of 7. "
"January 18, 2020",Brilliant family afternoon ,"Spent much longer here than we anticipated, so much to see and do. Something to fascinate all ages. Did not expect it to have a village feel. Loved the Beefeater tour, they paint an especially colourful story and get the children involved. "
"January 2, 2020",700 Years of History in One Night,We were lucky enough to get tickets to watch the Ceremony of the Keys. To think this has been going on every night in one form or another for 700 years is astonishing. We feel really privileged to see the Yeomen and honour guard perform this function. Photography was not allowed of the actual ceremony. 
"February 16, 2020",Great day out,Fascinating insight into the gruesome & brutal history of theroyals and royal visitors at the Tower. The weather was appalling sadly and much of the tour was outside so we got soaked but the day was still very worthwhile. The Yeomen / Beefeater tour guides were very entertaining whilst at the same time delivering detailed accounts of history. Recommended! 
"January 20, 2020",Love this place!,"As a Londoner, I’ve visited the Tower of London on more than several occasions over the years. Most recently when I had family over from Spain and decided to take them out to the Tower and the surrounding area for the day in December 2019. We joined one of the Yeoman tours which is hugely worthwhile if you understand English as it really brings history to life. They are always highly informative and entertaining! I love the atmosphere of the Tower and the fact that you can walk around at your leisure, stop for food etc. We went on a weekday and it didn’t appear very busy. Able to see the Crown Jewels and all the other displays without needing to queue. You can easily spend 3-4 hours here. The Tower of London is probably one of my most favourite London attractions and would definitely recommend a visit!"
"January 9, 2020",Beefeater tour was hilarious!,"We joined a beefeater tour and it was such a delight.  We spent the hour learning and laughing.  My kids loved the history lesson presented in such a fun and lively way.  The Crown Jewels were quite crowded but they had a moving sidewalk that kept everyone with a limited amount of time.  The white Tower was filled with things to see and do.  It is a very expensive place to visit, but a definite must.  "
"November 30, 2021",Can I live here? Asking for a friend,"My favorite attraction by far in London. I could spend all day here - listening to the audio guide and stalking each of the Yeoman Warders. The White Chapel is in incredible condition for being 1000 years old. You can walk through, view the exhibits (some of which even interactive) and learn about the history of the first castle. Obviously, the crown jewels are the piece de resistance. They are truly remarkable to behold in person.The Yeoman Warders are delightful and tell the story of the Tower with great personality. They are funny, knowledgeable and take great pride in their role. After all, in order to be a warder, they had to serve over 20 years of military service. This is a must go, and try to go in the morning when there are fewer people. Make a beeline to the crown jewels and you can see them close up."
"March 31, 2022",Great to do once!,"If you’re visiting London and haven’t done this attraction. It’s a good one to do!Plenty of history and sights to see. Despite not being religious, my favourite experience was actually seeing the Church of St Peter,  as it’s the final resting place of Anne Boleyn. There was a beefeater patrolling inside who took time to speak to us and it was a really nice conversation.There is no doubt MUCH to see and learn and it really is fantastic if you like your British history. However…The reason I gave four stars is because the ticket prices were quite high for what it was in my opinion. And I am also not a supporter of them clipping the wings of the ravens just to force them to stay."
"August 11, 2021",Well worth and should visit if in London,"Great day out, the beef eaters really make this experience work, not bad when you consider that this is their home. Easy arrival, (pre booking was required and timed entry) but worked very well. The talk with the beef eaters is a must and Colin who did ours (his first in 15 months )was brilliant, he bought the history alive and gave our visit content. The chapel is very moving and of course the Crown Jewels. Food options were good and lots of areas to sit and enjoy a picnic, watch your food one of the ravens had a packet of crisps off somebody before they could react. Shop had the usual tack as well as some well thought out lines to buy. Can get busy and a couple of areas have a challenging access route, hardly surprising when you take in to what the site is."
"January 7, 2020",Tower of London on 12.27.19,"The Tower of London was closed for Christmas and Boxing Day, so it was EXTREMELY crowded on 12.27.  I would recommend visiting another time.  We didn't have time to see the Crown Jewels because the line looked to be several hours long.  I would also recommend doing a docent-led tour because you miss out on a lot of history otherwise.  It was so crowded we couldn't find the location to pick up the headsets for the self-guided tours, which would have made things more interesting. I don't know if there's an ""off"" season for London, but if I were to go back, I would chose that time.  Overall, the city is extremely crowded over the holidays."
"March 10, 2020",Nice Place to Visit ,If you go I highly recommend taking the time to join a free Beefeater tour. The stories and history from them make it much more interesting. The crown jewels are amazing. I was a little disappointed that none of the rooms in the living quarters part of the castle were kept original. It is all military and weapons displays now. 
