date_written,title,content
"Written February 21, 2020","Operational reasons, huh?","So your website tells me that today I could have seen a free exhibition of prints and lucky me it’s Friday so the museum is open till 8.30 pm. After making my way through completely over complicated and unnecessary amounts of zigzagging Disneyland style queuing barriers, I arrive inside and head for said exhibition. It’s 5.40 pm and the doors are locked shut at Room 90. Countless other people are ascending the stairs to said room. But no. Locked. Signage? No. Barrier? No. Log in for your free WiFi to check your website because obviously I’ve missed something. No. Staff member? No. Descend to Room 24 where two staff members are having a laugh. I mean literally. Ask them if the exhibition closes at an earlier time. Well they’re not sure but sometimes it closes early for ‘operational reasons ‘ (this exhibition opened yesterday...what you mean is you don’t have the staff - could be a Brexit issue? Just sayin’.....)and perhaps I could ring to check first. Sorry, what? But it will be open tomorrow. Yes that’s great as I don’t live in London and had made a special journey based on your website information. Oh well, better make the most of....the rather uncomfortable feeling I got walking round the extraordinary exhibits which, and I quote a guide I passed, are British because they were paid for by British people. Casts a new light on the formerly named Elgin marbles, doesn’t it now? No, I’m not finished yet. I just need to mention the ladies loos downstairs under the Great Court. Sorry, but what person designed soap dispensers so far from the edge of the hand basin that you need to practically mount said hand basin to reach them? There, I’m done now. Thanks for all that."
"Written January 27, 2020",Troy Exhibition British Museum,"We visited Troy in Turkey in 2018 and also went to the museums in Athens and Istanbul, where many of the artefacts are held.  The exhibition at the British Museum Troy: Myth and Reality was a huge let down and made even more disappointing by having to pay £20 each to see the exhibition.  We went on Sunday 26th January and it was very crowded and nearly impossible to look at the exhibits without someone pushing in front of you (not the BM’s fault, though they could restrict number) but the layout of the exhibition didn’t help with circulation.  In comparison to what we saw in Athens and Istanbul it was very disappointing and certainly not worth the cost of entry!"
"Written February 22, 2020",Impressive grand building - Very London but bigger than most !,"Zig zag queuing barriers put out prematurely when no queues evident.Walking 20 times further to the entrance than necessary is unwelcome when you already walk so much in London. Free entry, but after obligatory bag search there is a bank of manned donation desks where there is an unwelcome 'hard sell' to donate. I would have anyway, but felt pressurised to do so before i'd even entered the museum. Anyway, rant over, once inside, this is clearly a place that warrants multiple visits if you can. Its huge, and just so much to see, although we found some of the artefacts lit so that there was too much reflection on the glass cabinets, making it tricky to read the descriptions and history of the item. Bigger print would be beneficial. As there is soooo much to see, i'd recommend checking out the website prior to visiting and selecting what areas of exhibits particularly interest you and concentrate on those floors.  All in all, its not just one of London's GREATEST attractions, it's a World Class attraction."
"Written July 5, 2021",Disappointing and Overpriced,"We came to see the Thomas Becket exhibition as we're both hugely interested in Medieval history..Less than an hour later we emerged feeling very underwhelmed, although there are some nice items on display the exhibition is far too short and the accompanying book way overpriced, oh and forget social distancing as soon as you get in.The exterior gates aren't open until 10am, so we were kept waiting as the queue grew, instead of starting at the security point, would have less impact on our booking time that way.I love the British Museum but this offering sadly didn't live up to the hype or expectations, the Magna Carta exhibition at the British Library was much better value."
"Written January 13, 2020",Serene Sunday...,I visited on a Sunday afternoon around 2 pm in January. The museum did not close until 5:30pm. It was great that I could walk around the museum without huge crowds. I was able to go to every exhibit and look at it without crowds. Although the museum entry is free I did pay £6 for the audio guide. I thought this guide was excellent. Not only was it informative about the exhibits but it also helped me to find my way around the museum from room to room and level to level. It has a number of cafés offering cream teas and also a restaurant.
"Written January 19, 2020",Never disappoints,"This was my second time at the British Museum, and I intend to go back this week since the special exhibitions are cheaper during the week.The collection is so vast, it’s impossible to see and absorb it all. Last time I had been visiting with three young children so we only did Egyptian statues and Mummies. This time I was also able to see the Library celebrating the Age of Enlightenment with all the curiosities collected. Later will return to see the special exhibit on Troy.I highly recommend a visit here every time you are in London."
"Written January 4, 2020",Ancient Egypt room is missing Horus,I always love visiting the ancient Egyptian room. The British museum is always worth It for that alone ..but a big disappointment that there is a Huge stone Horus statue now gone missing from the excellent display . It's probably too priceless & needs to be kept away from a worshipping public that want to touch it rather than just look. But I really wish they would bring it back .. even under glass. I miss the god Horus a lot & nobody could tell me when or if it will return
"Written February 18, 2020",One of the best museums I have been in,"Its one of the largest and most interesting museum in the world. There are exhibits of ancient cultures from across the world and endless amounts of treasures. I recommend spending the entire day here, but even if you had a month you couldn't explore everything here. When I went to this place, they had a manga and anime exhibit which was super awesome because you can see the works of famous authors. Honestly can't recommend this place enough, its a must visit if you visit London."
"Written February 23, 2020","Huge, long lines for security check and 2 pounds for a map","It takes about 10 minutes in line to get checked, and it’s always crowded. It’s annoying to have to pay 2 pounds for a map. Clearly it has amazing exhibitions but download a map prior and focus on a few exhibits to get the most as it could take days."
"Written September 3, 2021",What a joke,"Like many London museums you have to book a time slot on a particular day. They didn’t have tickets on our preferred day and we set out really early on our confirmed day so we weren’t late, fearing being turned away.  What a surprise we weren’t asked to show our prebooked tickets at any stage and we definitely didn’t sneak in.  As for the museum, in light they are not doing tours at the moment, would recommend buying a guide book if you want to take full advantage of your visit. We didn’t, and although we spent a couple of hours there and saw lots of lovely interesting pieces, suspect we missed some must see artefacts. The other observation is that there is little British history at this museum, and probably explains why there were a significant number of Far East and Middle East/North Africa visitors on the day we visited, albeit I wondered how with the Covid restrictions they were here in significant numbers"
