date_written,title,content
"Written August 8, 2021","It Was Good, That","I very much enjoyed this trip to the Natural History Museum with my three pals. We hadn't booked tickets, but arrived at 10am to queue for about 10 minutes and then were released into the exhibits (we were overjoyed to find it was completely free!). First stop, the bogs. These were located at various points throughout the venue, which was a huge relief seeing as I was travelling with someone with a slightly weaker bladder. We then went to the Human Evolution section, which was really interesting. There were so many real-life skeletons and reconstructions of our distant relatives. We then went up to the Volcano and Earthquake section - best part was probably the earthquake simulator. We also enjoyed seeing the huge whale in the main hall and learning some more about the planets of our solar system. Another highlight was the gift shop as it provided lots of giggles.My biggest disappointment was the dinosaur section as I found it quite boring (apart from the big T Rex). Good for all the family, free and lots to see and do, which brings this museum's score to a 4 out of 5 on this occasion."
"Written January 16, 2020",Magnificent building!!,"The Natural history museum is not only for children or nature scholars. The amazing building is worth the visit by itself, and remember that the entrance is free!Don't miss the blue whale skeleton in the main hall of the old building, the dinosaurs section, the huge moon replica, the red zone with the earthquake simulator, or the treasures in the top floor, with the moon stone or the first edition of Charles Darwin's ""On the Origin of Species"".You can stay an entire day here, depending if you have kids interested in these subjects, or if you are an aficionado yourself.Enjoy!"
"Written February 17, 2020","In a word, 'WOW!'","Having visited the Natural History Museum in Oxford, this was a long-awaited visit for me, personally.The museum is enflesslely brilliant and interesting. As a FREE site, it is up there with the top things is recommend to visit.The Volancoes and Earthquakes section is truly fantastically executed with an earthquake simulator near the end of this area. We had an excellent level of dialogue between myself and my friend's nephew!The blue whale skeleton is absolutely breath-taking and really dominates any visit in a pleasent way.The dinosaur section is really well done, as well.This needs to be on the top of everyone's agenda when visiting London!"
"Written March 17, 2020",A hugh collection.,"In my travels I have come across nothing that compares to the Natural History Museum as a museum of the Natural World. The building is impresive in itself and is seen at it's best entering by the main entance hall where a real Blue Whale skeleton hangs from the ceiling. The mammals hall nearby contains a full size model of a blue whale among it's many excellent exhibits.Other good sections include Human Evolution, and a section for Fish Amphibians and Reptiles and Mammals.Down one of the corridors runs an impressive collection of Ichthyosaur and Plesiosaur (extinct reptile) fossils.And there are there are the dinosaurs. These include motorised moving models of dinosaurs. There is also some fossil skeletons of dinosaurs, this best of which in my opinion is Sophie the stegosaurus. What I think gives Sophie such class  is not her size, she probably was not full grown in death, but the fact the skeleton overwhelmingly comes from one fossil unlike most dinosaur skeletons which seems to be mostly made plaster replacing what is not found in the ground. Oddly Sophie is held away from the main Natural History Collection in the Geology Museum part of the collection.A good feature of the museum is that you are not obliged to pay an amount for visiting you pay what you think the visit was whorth. Which is useful if you do not have time to to have say a £20 whorth of visit."
"Written October 28, 2023",I just  had to see Titanosaur .......,".....the main purpose of my visit. A £16 exhibition fee but I had pre-booked a timed visit the night before and just strolled in, a short queue into the exhibit at midday but the museum seemed fairly quiet for a Saturday. The exhibit opened a fair few months ago so now you can queue up and pay to see this amazing exhibit. Since the pandemic pre-booking and timed visits seem the orderly way to go almost everywhere and takes the chance factor of getting in somewhere away, there's pro's and con's to that but I made it in and WOW.There are a few information screens to pass before getting to see Titanosaur but when you do it is an amazing moment, similar to when I first saw ' Dippy ' on School visit many years ago.Titanosaur is massive and amazingly 3 or 4 times the size of ' Dippy '. What made this visit unique was that you can actually touch the skeleton of this 100+million year old dinosaur. putting the palm of my hand on one of the thigh bones of Titanosaur was a magic, almost spiritual moment. We've all seen those DO NOT TOUCH signs but here you can. I had a bit of a wonder elsewhere on the ground floor, the ' Hintze ' hall is always a special place but Titanosaur stole the show today."
"Written August 13, 2023",Interesting but far too busy. Needs restricted entry. ,"I hope the NHM takes on some of these reviews as constructive criticism.I love the NHM and I value highly that the UK provides free entry to museums. However, I do think the time has come for the NHM (and possibly V&A and British Museum) to started a ticketed entry system in order to reduce the number of visitors per day. It was far too busy. Not only the queue outside but once inside it was damn near impossible to see anything and explain things to the kids. People just see it as a tick list of places to visit and just crowd to take photos of things without even reading anything. Plus the heat in there!I feel the place needs a refresh. The dinosaur section has proved what can be achieved. If a section was closed to change exhibits and signage many would welcome it.  Doesn't need to be drastic, the plesiosaur wall will always be impressive, but the hyena and Panda look like they are 200yrs old. By all means continue to show taxidermy as it is historically interesting but a better comparison of new science would be welcome. The kids found it interesting. Aided by our knowledge of natural history more than the signs but they tired quickly due to the crowds and the heat. Only saw two sections before giving up as it was overwhelming for everyone. Sort out the crowds and this place will stay a gem. Currently the museums are turning into places to avoid. "
"Written April 17, 2022",Uncomfortable,"We went in the Easter holidays on a Saturday. 2 adults, 3 children and 2 babies in a double stroller. We booked in advance The best experience we had there was the picnic area downstairs which we used as soon as we arrived as it was lunch time. We started out tour at the bugs and walked round ok was a bit crowded, we then got in the line to see the dinosaurs, it was a bit of a slow moving queue but we got in and I wish I never did! We had no time to look at anything as we had NO choice but to keep moving around and follow the path around I had 5 people step over my daughters legs in the stroller to get past even tho I was walking as fast as the flow let me! My children hated it and wanted to leave, they were getting pushed past by grown adults to see a trex they can see from behind them. I didn't blame them wanting to leave and we felt uncomfortable as them, so after an 1hr in the actual museum we left. But the picnic area was lovely 😅 dinosaur theme tables, highchairs there's toilets and baby changing down there definitely recommend taking your own food."
"Written February 22, 2022",Sadly poor and exhausting!,"Very sad to be writing this but a family visit today was terrible!Staff were great but the crowds were horrific, the queues were unbelievable and while visit was stressful and exhausting.Queued for 30mins to get in for our booked time slot just to have non-ticket holders walk straight past and get in before us.Queued for 30mins or more to see the dinosaurs, just to be packed in like sardines, having to shuffle around with hundreds of others.The museum is fine but please explain to me what the point is of having a limited number or time slots to then just let anyone and everyone in."
"Written July 26, 2020",Need a whole day to explore,"A remarkable museum. The displays were great with good signage and explanation provided. We tried exploring the whole museum but couldn't manage it in half a day. The main part which houses most of the displays were very busy while over in the Orange Zone which hosted the wildlife garden, spirit building, and Darwin centre was much quieter. Do pay attention to the building itself as sculptures of different plants and animals can be found everywhere from the columns to the ceiling. To top it all off, entry is free of charge. Will definitely return for a revisit if we're back in London."
"Written February 17, 2020",Birthday Trip to Wildlife Photographer of the Year Exhibition,"The main purpose of our trip was to see the WPOTY exhibition as part of my Birthday celebrations. The galleries were well presented and it wasn't too crowded.We had limited time to see the rest of the museum, but know from previous experiences when the children were younger that there is something to appeal to everyone. Of course, the Cetaceans Hall is not-to-be-missed for the Blue Whale!"
"Written August 12, 2020",Not all exhibits are open due to COVID-19 restrictions,"As a measure to reduce crowds during COVID-19 you have to prebook a time slot for entry, this can be easily done online. You also have to wear a face mask while insideThe museum building is beautiful. For us the main attraction was the dinosaur exhibits and the animal exhibits in the main hall. I will probably return when it is no longer necessary to wear a mask as I felt uncomfortable so didn’t spend as much time in the museum as I would have liked. "
"Written January 13, 2022",It’s okay,Another good day out I loved the gems stones i could have spent all day in there looking at the different stones and crystals.  It’s another big museum make sure you give your sled plenty of time to go round it. I would say go to the entrance with all the dinosaurs first because that’s the best bit. We went through the other entrance where there’s staff pressuring you into paying a donation. I understand that times are tough but not everyone can afford a donation £5 or £10 can go a long way to quite a lot of people. I understand that you need donations to keep the place running but please don’t pressure people into it. I was annoyed at the fact that you are happy to take my money off me when i walk through the door but as soon as I want a bottle of water and hand you over a Scottish note you screw your face up and say your not accepting it. When the last time I checked Scotland is apart of the UK but you won’t accept it but your happy to take money off me as soon as I walk through the door. 
