date_written,title,content
"Written January 26, 2020",A Sunday with Leonardo da Vinci.,"I have just come home from seeing the excellent Leonardo da Vinci exhibition which was cleverly laid out. A real insight into his work which was an altar piece but the demonstrative methods of explanation and history were stunning. We are members and so the £20 entry cost was not applicable to us but that is VERY expensive for a one-off, particularly as it is a piece of art they already own anyway."
"Written January 20, 2020",Leonardo Exhibition,"The exhibition focuses on one famous painting ""The Virgin of the Rocks"" and is quite interesting.I would allow about 30 minutes for the viewing.The entrance fee of £20.00 plus can not in my opinion be justified for this exhibition."
"Written March 6, 2020",Still free!,"With a wonderful selection of art, right in the centre of London, the National Gallery remains one of the best places to visit on London.The special exhibition seem to be fairly expensive BUT are beautifully presented and worth the money.A must see in London"
"Written March 20, 2020",Great on site guides :),"I absolutely loved it. The on-site guides are knowledgeable and kind. I appreciated how they suggested additional works of art based on my particular interests. It was well worth my time to visit. There is so much material on the free access floors, but I would gladly make a donation on a regular basis or pay for the special exhibits. The description of the paintings was much more robust and engaging than other museums I visited."
"Written January 17, 2020",Great place to while away an afternoon,"Some great works of art here, lots of recognisable pieces and lots of new things to be discovered every time you visit. Free entry (donations recommended) mean it is accessible to everyone to visit.Friday evening late sessions are particularly enjoyable!"
"Written February 22, 2020","amazing collection, busy","this is an amazing museum which has some truly exceptional pieces of art from the prerenaissance through the impressionists.  The Titian exhibit was closed due to preparations for new exhibit.  Pieces by Botticelli, Raphael, Rembrandt, Van Gough, Monet to name a few.  Entrance donation is 10 pounds, and the audio tour is a must unless you already know it all or simply have no interest.  You need at least 4 hours to do it justice.  "
"Written October 21, 2020",National Gallery - Free route,"It’s a while since we’ve been to the National Gallery and our first visit with the Covid measures in place.There are 3 routes for the free collection (free ticket needs to be booked online). Everybody does A and you can then choose B or C. On arrival you are directed to the left queue if you have tickets for a paid exhibition and the right for the free collection. Both moved quickly once let forward. The time given for each route is the minimum and you can go more slowly, though sitting and sketching appears to be discouraged - understandable as they need to limit numbers in the building at any one time to be sure those inside will be able to maintain social distancing. Inside there is a one way system - clearly signed on entry to each room. It was explained on entering route A that you went to the end, followed the one way system round and then did the second aisle. Good to see the collection with less people, though it might be necessary to hold back temporarily at some pictures. There were quite a few loans / new acquisitions. We heard a number of staff telling people which rooms certain pictures were in and how to get there on the one way system so if you want to see a particular picture do ask on your way in. Staff were all polite and helpful, though understandably they sometimes had to stop people going where they wanted as it was against the one way system."
"Written January 24, 2020",Truly Epic. Must Visit.,"One of the best art galleries in the world. Full stop, period, end of discussion.  The Monets, Van Goughs and Rembrandts always draw a crowd, but whatever floats your boat is at the National Gallery.  From 13th century Medieval art up to the Impressionists leading into the 20th century, it’s on display at “the National.”Good to know: Allow a couple of hours or more on your visit.Good to know: Admission is free although they request donations. Rightfully so.If you found any part of this review helpful please hit the “Thanks” button below, and my thanks to you in return!"
"Written January 3, 2020",Feast your eyes if you love art!,"My son loves art and we spent hours and hours going thru the art collection, where my son was telling me all about Titian, and the various Venetian artists, how styles of painting have evolved in different eras and how painters as unique as one may be also copied styles from other artists... the gallery was just perfect for him, we spent hours.  I wanted to rush to the famous Van Gogh, Monet and Rembrandt paintings... but we instead we walked our way through each time period.  For art lovers, feast your eyes.  And for those who just want to click and post a picture of the art... oh well, the museum is free :) "
"Written January 4, 2020",At long last!,"I have been wanting to go here for ages but just couldn't get anyone who has an interest in art to join me. So, this holiday it was my call. We are going to the gallery and that's that and off we went.The National Gallery is just so worth while! At long last I saw sooo many of the pictures that up until now I had only seen in encylopaedias, magazines and text books. Some were much better in real life and some weren't. Overall it was just awesome.You need to be ready for crowds in the impressionists rooms especially where van Gogh's Sunflowers is to be seen. There is a permanent buzz around it.I am visiting from a country that is globally renowned as ""high risk"" at best, I was absolutely stunned to see how close a person can get to the artworks that are so fabulously valuable. It's just soooo crazy! I was unable to suppress a suspicion that I might probably be looking at copies of the famous artworks. There is just no way you would get this opportunity in South Africa.Guys and girls, with times and events changing as they currently are, I would get myself down to the National Gallery asap before someone makes a decision that maybe this treasure belongs under lock and key in a vault because that shameful day is coming sooner or later."
