date_written,title,content
"Written February 16, 2020",Great at night time ,As pass holders we didn’t need to queue but at 8pm the queue is minimal anyway. Took my 4 year old up and he loved it. A great view over London at night with the lights shining. Definitely worth it 
"Written February 22, 2020",Views of London,The London Eye is good for viewing the skyline of London but the length of the queues makes it almost not worth it. Getting a few pictures of the Eye itself from a distance is great but it's really just a once off trip. Consider investing in the fast pass of it's busy or you may spend more time in line than on the Eye.
"Written March 20, 2020",6 stars,"I would give six stars if I could! I booked fast track for an evening view of London, and I was not disappointed. While fast track did cost more, me and my boyfriend were straight past the long line, searched and into a pod within six minutes of arriving. Well worth the extra money in my opinion. But the views? Simply breathtaking. Seriously, the pictures and videos don't do justice. It's so peaceful being that high up, yet you see the city still bustling below. The pod has so many clear windows for excellent photo opportunities and is spacious enough for many people inside without feeling claustrophobic. The pace was just right and not once did I feel uncomfortable. I've seen people saying this is a ""tourist trap"", but I couldn't disagree more. As a Brit myself, I can't recommend you do this attraction enough and hopefully it will shine a light onto why I'm raving about it so much.  A truly unforgettable, spectacular experience."
"Written February 27, 2020",View in the sky,"Surprised how quick we accessed the Eye.  We were booked in at 4.30pm and had arrived early because of possible queues but got on the ride within 5 minutes and had actually finished our rotation before our allotted time.Superb views over the city, so many sights to try and identify.  The Eye will always be a popular tourist attraction, next time I want to see the city by night."
"Written December 1, 2021","The Shard has better views, but this is a great attraction","Had an enjoyable dusk/night time ride on the London Eye. The queue moved slowly as not all pods were being loaded, plus you have to navigate the usual Merlin green screen photo opp, but once on board it was a great experience. Not too many people in the pod, although not much in the way of mask wearing. The views were spectacular. Highly recommend a night time ride but probably not for your first/only ride because it can be difficult to pinpoint specific landmarks as it's a carpet of lights below (which is truly spectacular). No problem with glare or visibility and taking photos even with my smartphone was easy.The ride itself is beautiful - you can tell it was a passion project for the architects. Even though it's been beaten in terms of height, it's still the most beautiful. It's extremely smooth, and you can't feel when it starts/stops to load disabled people.I feel the Shard offers far better views (it's almost surreal looking down on London Bridge) plus not time-limited like the London Eye is, however the London Eye is still great, easy to do and a great icon for London."
"Written February 18, 2023",Nice family flight,"It is what it is.  A big Ferris style wheel above London.  The organisation here is at least well polished and professional (compared to, well, nearly everything else we did this week) and you feel safe and secure.  We had a 5:45pm slot, which was the last slot of the day and as a result the man loading the pods placed out family of five in our own pod.  This made for a really special time as a family enjoying the flight and views of London and allowed a nice calm chilled experience.  I would definitely recommend booking later on in the day as when we arrived at the Southbank around 10am it looked fairly busy then."
"Written February 26, 2020",Amazing views,Such a unique experience. Costly but worth every bit. The movement of the eye is slow and steady so your elevation is not a sudden jarring one. Fortunately we had a clear afternoon with little wind so there were no disappointments with our ability to see the view. Easy to book online (we booked before our trip to ensure a spot because it was half term in London) and fast check in. Photo opportunity at the start of the ride and a great souvenir at the end. Each compartment contains around 15 guests so you don’t feel claustrophobic. Truly a fantastic experience.
"Written March 1, 2020",London Eye,"Went on the London Eye on Friday as part of a school trip. Participated in a workshop in the pod as we went round.  Great thanks goes to Will, who was one of the Eye’s workshop leaders. He took time with the students, engaging their attention, and bringing the experience to life. I’d really recommend this experience."
"Written January 16, 2020","Nice, but for the price I preferred The Shard","The London Eye became famous after the entry in the new millennium, and stayed after its success, for years to come (while we visit, it's celebrating its 20th anniversary).The views are very good, but you'll find more or less the same impact in the Tate Modern museum, which is free, or the top of the dome in St.Paul's Cathedral.Also, the queues can be huge, and if you choose fast track, then the price is not worthwhile. I would prefer to pay more to go to the top of The Shard, which at least gives you a unique perspective, and where you can stay as long as you want while drinking and sitting.The wheel will rotate only once for about 30 minutes. that's it.I'll let you decide for yourself, of course, but take into account the alternatives."
"Written February 19, 2020","Disappointing experience, great view ","London Eye delivers the view it promises; however it’s very disorganised. We purchased our tickets via website, with the binoculars. The queue has groups, families and general public all mixed up. We had a group of 30+ people skipping the line numerous times. Our binoculars were not given to us, and we realised this when we were ready to board the cabin. When we asked for the binoculars, we were told they are given at the entrance (where the person admitting us never told us) and that we should  “try get the ladies attention” so she handed it over to us. When we complained the experience was being terrible, we were just told “so sorry. Please step to the side” and there we were left trying to get the binoculars lady attention.With the groups, our kids were constantly bumped into and walked over. Very disappointed q the overall experience. "
"Written October 18, 2022",Placed in a crowded pod while others were practically empty,This was my second time on the Eye.  Don't pay for the extra stuff--just purchase a regular ticket and plan to queue.  We were disappointed that we were put into a pod with about 7 rambunctious kids whose parents did not supervise them while the other pods were practically empty.  Cool views the weather was exceptional.  
"Written September 6, 2020",Now is the time to fly,This was a great time to fly the eye  for the wrong reasons   Covid 19 is keeping tourists away such a pity .as the safety measures put in place are brilliant with a temperature check and swift cleaning of the pods between  customers making you feel really safe.The upside to this  no long queues and less people per pod  meaning great views and photo opportunities
"Written May 10, 2022",Pub Car!!!,"We took our first trip on the Eye in the Pub Car, which for one of us was highly necessary, as a drink helps with the fear of heights!Shout out to Dan and Harry, our guides and bartenders, who were absolutely lovely with their stories about the landmarks we could see, and for providing a truly fun atmosphere. In addition, the reduced number of occupants in the Pub Car made for a likely more enjoyable experience than the usual. Thanks Dan and Harry!"
"Written March 21, 2020",Even better than anticipated,"London Eye obviously was a much see. Was a bit higher than i thought and was concern about my fear of height. Overall experience is extremely stable, except slight jerks when it stops and go sometimes. but you won't feel it much. the experience is amazing and so is the view!!! Great 30 minutes experience not just the view to be in the highest ferris wheel is quite amazing!!"
"Written August 21, 2022",Magical views of London,"We booked a Champagne flight as part of a wedding anniversary trip to London. Pushed the boat out to celebrate with a Champagne tour. Reception really slick, lively room with great view of the Eye and across the river. Fast track escorted access limited to 16 people. Wow experience and view mind blowing - not to be missed. Would have been a 5* if not for the the tour guide who seemed intent on being the main attraction"
"Written January 6, 2020",Must visit ,Third visit Bussiness as usual entertaining and busy . 3D experience was good. It’s obviously a must see attraction if in london one enjoys it every time though it is nothing out of the world.
"Written November 20, 2021",Love this,Great way to see London. In the daytime and when the lights are coming on are both  great times to see the city.Small dislike is the pink advertising all over the eye. We did a river trip also in conjunction with the eye and the guide was superb. 
"Written June 28, 2022",Best done as a group.,"Do not bother unless you are part of a group.  Our pod had 33 people but the next pod had only 15 ( yes, I counted).  Because the walkway to enter the pods is stationary but the pods continue to move, the person next to me panicked and I was physically pushed and blocked from entering the pod, almost falling as this person back stepped into my spot rather than entering the pod.  In our pod, the many young people stayed in place at the windows taking selfies.  At one point, someone asked if the rest of us could have a turn.  Most grudgingly comply, but one couple refused to move from the prime spot.  They took selfies the entire ride, never once looking at the view!  Obviously, the view is great but not worth the hassle."
"Written November 9, 2020",Private pod,"Had a private pod and it was amazing. We had a good day, took in the views and I would recommend. I would also suggest either going mid week or getting a private pod like we did and then you get to cur junk and not be stuck with strangers!"
"Written January 13, 2022",Champagne with a view!,"We did the champagne experience and had a fantastic guide (Archie) who was so informative and funny. There were only 2 other couples in the pod so you felt very safe. The views are staggering, you see London from a completely different aspect - a must do experience!"
