date_written,title,content
November 2023,History meets luxury ,"Spend 5 minutes with Ivan the porter while Ivan the porter gets your taxi. He provided a quick whirlwind tour of the hotel and the historical significance. He is well informed, proud and delightful! 10/10"
October 2023,Afternoon Tea and Drinks at the bar afterwards ,"Wonderful afternoon tea with a good friend. The service was exceptional, sandwiches, sweets, teas just amazing. We also went for couple of drinks to the bar,which was amazing too. I highly recommend Brown's Hotel London. "
October 2023,Perfect stay,"Our stay at the Brown's was just perfect. The room was super clean, and really pretty. The staff, needless to say, incredibly polite and always there to help. The doormen especially bring the experience to another level, as they are an extension of the concierge, with stories and advices. The Donovan's bar is really happening during pre dinner time, with great drinks and delicious bar food. And the staff at the bar is also very professional and friendly. Final comment for the reception. Unfortunately I don't remember the name of the lady who checked us in. There was a little problem with the room assigned to us. She took charge, never made us feel worried or uncomfortable, and she swapped us, very quickly, to a room that was just perfect. This hotel is one of those places that…"
October 2023,Treat yourself and stay at Brown's,"Brown's is hands down the best hotel in London and I've stayed with all of the well known ones over the years, and have travelled extensively in my business career.  What sets it apart is the brilliant team, from front of house to cleaning. Donovan's bar is a great spot, the breakfast is one of the best anywhere, and the ambience of the hotel exudes class and style as you might expect from a Rocco Forte Hotel.  The Friends membership benefits make a difference too - they'll do their best to provide early and late checkin's/checkouts and they really value regular travelers. "
September 2023,What a treat!,What  treat!  We have stayed in many 5 star hotels.  Brown's is right up there in the 5 star category.  We had a lovely room with suburb service.  The hotel staff are all excellent and very helpful.  The breakfast buffet was extensive -  what a great way to start your day!  It is close to the green street underground and easy walking distance to most everything.  Don't wait for a special occasion - stay there now!!  We will be back - hopefully soon. 
October 2023,Three Nights at Brown's Hotel,"The rooms are wonderfully appointed and comfortable, the spa is not to be missed and we felt well cared for and attended to by all of the staff.  The bar experience is pure entertainment and the cocktails are inventive and unique."
July 2023,Brilliant ,"Brilliant, can’t fault Browns at all, everything was perfect, staff good and attentive, everyone made us feel welcome and we shall be back again one day hopefully quite soon as we enjoyed our experience.  "
October 2023,A sense of luxury and elegance,"We had a great time and the food is delicious, the staff (Maria M) was also great, there is also a pianist playing music that transports you to the Victorian  era, also the oldest hotel in London, such a beautiful place to visit. "
October 2023,Wonderful stay,"We stayed 9 nights, recently, at Brown's. Our suite was beautiful and very comfortable, beds were great. Everyone on the staff was extremely nice and very helpful. The concierges and doormen, especially so. This is a feature we greatly appreciate at all of the Rocco Forte hotels... the staff are always wonderful!"
September 2023,Highly Recommended for a Luxurious Weekend in London,"Loved the thoughtfulness put in preparing the room for bed time. The room, amenities and especially the service made the entire experience memorable for me and my wife. The spa treatment by Fouzia was great. Breakfast, afternoon tea and room service was topnotch. Highly recommended!"
September 2023,Classic English Luxury,"Stunning hotel in Mayfair with large suites that feel like home. Incredible staff who are kind, friendly and warm. Fabulous design, between the rooms and the common spaces. This hotel is cozy yet spacious. I loved everything!"
September 2023,"When in London, BROWNS HOTEL IT MUST BE. Hands down. ","Everything about Browns is a superlative description. As soon as you arrive, the staff is at its finest. Helpful. Accommodating. Extends their assistance beyond their task. The hotel is clean. Concierge Gerard and his team are very knowledgeable of our needs and about explaining the ins and outs of London. The TEA was exquisite. I can’t imaging myself searching for other hotels. The rooms are squeaky clean which is very important to me. The bathroom smells freshly cleaned. No odor at all. The sheets smell like they had just been washed. Yes, clean. The pillows are comfortable. Housekeeping is very responsive. I called for coffee at 9am and in 10 minutes, voila. Unlike other hotels where you wait until you’ve forgotten that you had ordered it an hour ago. Everyday in the…"
September 2023,London Weekend,"Always a great experience to be at Brown’s in the centre of Mayfair. A very nice hotel with a very unique atmosphere. The staff regardless of which area reception, restaurant and bar or room service are all very friendly and helpful and always ready to respond to the customer’s request. The whole ambiance is simply very beautiful and radiates a cosy and pleasant atmosphere. In any case, also on the next visit to London at Brown’s."
August 2023,Our favourite place to stay in London,"My husband and I have been staying at Browns for some ten years now whenever we’re in London for a few nights.  It’s always a treat and the service lives up to that intention.  We’ve stayed in a variety of rooms from the Superior Room through to the Junior Suites and they are just so well appointed, comfortable and spacious given the age of the building.  Our favourite thing about staying is not only the jolly greeting you get every time you enter the hotel (the doormen are so friendly and helpful) but also its the drinks at the Donovan bar. Taking a drink there feels very civilised which is a weird compliment but the design of the place lends it a very sophisticated atmosphere - subdued lighting, some cozy booths and a well made cocktail always starts off an evening out on the…"
May 2023,"Classic elegance, stylish, top service in wonderful location!","My stay at Browns was one of the best experiences lately in my life!  Classic elegant decor, silence in the rooms, discreet service that guesses what you need in the best location possible. The tea at Browns is one of my favorites in London! "
September 2023,Home away from home!,"First but certainly not last time we will stay at Brown’s. Nothing short of perfect. From check-in to check-out we were made to feel like we belonged. The entire staff made a point of knowing us, our preferences and our needs. Just to name a few, John at the door, Richard and Gerard at the Concierge Desk, everyone at Reception, Charlie’s Front of House staff, Rocco in The Drawing Room for tea, and everyone at Donovan Bar. (Please all forgive me for leaving anyone out, because I would run out of space naming you all) As far as hotel itself, charming to say the least. And location in Mayfair can’t be beat. Of particular service note, I had a very bad case of sciatica that required constant icing. The overnight staff took amazing care of me, and Richard at Concierge desk found me…"
September 2023,A superb experience!,"We absolutely loved our three night stay. This is one of the most classical London hotels. It manages to balance history with updated design and service levels. Personnel is extremely professional and service minded. They all adress you by your surname and welcomes you ""home"" every time you arrive back at the hotel. And it does feel like your home away from home.  Afternoon Tea at Brown´s is a classic and breakfast in Charlies restaurant is a venue to be enjoyed for at least an hour. The restaurant is so nicely decorated and the food and service impeccable.   The location is one of London´s finest right in the middle of Mayfair close to some of the best restaurants and shopping the city has to offer. Their chauffeur driven Bentley service is an extra plus, particularly if you…"
September 2023,A lovely anniversary,It was our wedding anniversary and we decided to return to Browns having had such a nice stay before. We hoped for a similar experience but if anything this time was even better. I have mobility issues and despite what everyone says some places aren’t accessible friendly but I couldn’t fault the staff at Browns. We  had drinks in the cocktail bar and ate at Charlie’s. Again a superb meal. It’s a true delight to see things done properly and they were but with such kindness and friendliness ! The staff were excellent. We’d recommend the experience wholeheartedly. Truly memorable and worth every penny 
September 2023,Our London Home,"We spend a decent amount of time in London and have experimented with a broad range of hotels. With Brown’s, we have finally found our London home. Gracious, elegant, friendly, sophisticated, highly professional, lovely, and responsive to every request, Brown’s provides the environment that both relaxes and energizes. "
December 2022,Mummy and daughter spa day.,"For my daughters 9th birthday (December 2022) I made a booking for the Mummy & Daughter spa. One of the reasons I chose this particular spa is because of my daughters age. Most spas will not do treatments on children of this age.   The day started badly due to train strikes, so therefore we were a little late. When we arrived I filled the required consent forms and we were taken through to our treatment room. Both the ladies Olga and Fouzia were wonderful. After our mad rush due to the trains I was worried we would miss our booking and was completely stressed. But the ladies put me at ease. We had chosen our treatments, nails and a massage each in a joint treatment room. At the end of the treatment the ladies bought my daughter a cake with a candle on for her birthday and sang…"
February 2023,Truly a 5 star experience. ,"I stayed there with my wife and 1.5yr old son. We had a lovely time here. Everyone was so nice and accommodating. They were so kind to my son as he ran around the hotel saying hi to the staff. They even gave him this little wooden monkey toy in our room. It's in an excellent location, near the tubes but walking distance to Picadilly circus. When we go to London again we would be hard pressed to stay anywhere else but here."
February 2023,A welcome like no other!,The customer service at Browns was exemplary. When you stay at Brown’s you are made to feel as if it is your home. It was a privilege to be a guest. Staff went above an beyond to accommodate an extra family member and our grateful thanks go to the team. Browns isn’t cheap but it is so worth it.
February 2023,Birthday Afternoon Tea ,"My son and daughter-in-law went at the end of February to have afternoon tea at The Drawing Room, Browns Hotel as a Birthday treat I wanted flowers for my daughter-in-law as a Birthday surprise. The hotel staff were fantastic in assisting. Their in house florist made up a beautiful bouquet and photos were sent to me of the flowers on the table.  I had excellent and prompt email contact with staff at The Drawing Room, liaising about cost, flower type and payment arrangements. They could not have done more.  The feedback from my son and daughter-in-law regarding their special afternoon was totally positive - a really delicious tea, they were treated extremely well and made to feel special. We would recommend The Drawing Room as a lovely place to have tea. "
February 2023,Luxury & Personal,We checked into the Brown's Hotel for 1 night for a long-awaited staycation in London. Upon entering we were welcomed by the lovely doormen who then brought us to reception where Hasiya checked us in and gave us a beautiful tour of the facilities and even brought us up to our room. It was beyond elegant and luxurious with a handwritten letter which made the experience feel more authentic. A big thank you to Irene from guest experiences who arranged romantic amenities for our arrival (my fiance was definitely surprised).  Bianca from the Drawing room and Dimitri from Charlie's gave us wonderful service. The only negative was we didn't stay long enough! 
February 2023,Genuine hospitality at the heart of London,"Brown's Hotel is unlike any lavish hotels yet we were welcomed by such great hospitality & approachable staff from the doorman, Ivan to Ashiya who checked us in. Loved the interior and cleanliness of the room. The hotel is very accessible to different shops and restaurants, but we chose to have dinner in the hotel's restaurant, Charlie's. I remember the hostess Marina & waiters Rebecca and Luigi have attended to us very well. The crab starter is a must try & the steak perfectly cooked! Also loved the breakfast food and service from the same restaurant. Overall an excellent experience staying in London's first hotel!"
February 2023,Brown’s Hotel is second to none in London,"A stay at Brown’s makes London truly special and it all starts with the team who treat all like family. From Daniel at the front door and Giví once inside, the Brown’s team at reception, Charlie’s, Donovan’s and everything in-between sets them and your experience apart in every way. Highly recommended!"
February 2023,Birthday spa treatments ,"Booked spa treatments (softening facials and funky fingers) for my twin 13yr old daughters as a surprise treat. Beautiful environment, warm and friendly welcome. Hanna took the initial booking, very easy to do. She was very kind and professional over the phone. Aroure and Natalie did the treatments and made my girls feel so special, they loved every minute. Many thanks to everyone for a fabulous morning not to forget the doormen who greeted us and showed us the way down to the spa. "
February 2023,Spa experience,"Irene Forte facial treatment was on my schedule, and I was excited from the moment I walked into the spa reception. When offering me a cup of tea, the beautiful lady requested that I fill out the simple form. After that, a therapist led me to a treatment room where, after the frantic noise of the streets, you feel incredibly warm and tranquil, and this is where the spa's magic starts. I had a memorable facial treatment thanks to the setting up therapist, Aurora. I appreciate your kindness and your welcome, Hanna, as well."
February 2023,Wonderful stay at the Browns Hotel,"We spent a few days -for a visit at Chris de Burghs concert- at this lovely (and oldest) hotel in London. Starting with a warm welcome at the airport, an unexpected upgrade room with a wonderful view and the lovliest people around us during the days. We enjoyed a relaxing spa treatment, had a delicious meal and stayed for a drink at Donovans Bar. It was a great pleasure to be with you and we will never forget all of the amazing english roses on Valentine´s Day!"
February 2023,Overdelivers for 5-star hotel in central London. Top hospitality team.,"February 9-14, 2023.  Entire Brown's staff was welcoming, accessible, responsive and reliable! Such a great hospitality team is seemingly rare these days.  Suite was absolutely beautiful, cleaned and prepped impeccably daily.  Mattress and linens most comfortable.  Charlie's is a good as any restaurant in Mayfair. Spacious and comfortable.  Access to shopping and transportation is excellent -yet so walkable to best areas and sites in London.  Evenings at Brown's are comfortably elegant; quiet local streets in central London.  Have stayed at 5-star London hotels since 1986. Brown's was tops! Overall: overdelivers for 5-star hotel in central London.  "
June 2023,Absolute perfection,"I've stayed in many hotels offering superb service, with outstanding attention to detail. None of them - and I mean none - are up to Brown's standard. Staff can't do enough for you. Pleasant, courteous and utterly professional at all times. Breakfast superb, bar a solid win. The room was marvellous, and that bed was the comfiest that my wife and I have ever slept in. If I could have stayed on, I'd be there still. Utterly flawless stay. "
July 2023,Unbelievable team and service at a historical hotel,"Staying here made me nostalgic for what hotels used to feel like when everyone knew your name and made you feel extremely welcomed as if you were guests of their own home.  Givi was wonderful and everyone was so eager to assist—Natasha from housekeeping quickly helped me with my bags when she saw me in the lift.   Their attention to detail and incredible service would make me pick them over Claridge’s or any of the larger hotels in London.   Truly have not stayed anywhere with better service in recent memory.   Thank you for the wonderful stay! And also, obsessed with their pillows and sheets! Also something very romantic about staying in the oldest hotel in London! "
