date_written,title,content
October 2023,Great Vacation,"We thoroughly enjoyed our recent stay at Hotel 41.  Every staff member that we came in contact with was ever so helpful.  I would like to thank Nishan for all the work he did prior to our arrival.  He recommended and arranged all of our tours, restaurants reservations, shows, etc., and secured the tickets prior to our arrival. His expertise was invaluable.  Our morning breakfast was handled expertly by Shadrack; he was efficient and an absolute delight. Throughout the day we were greeted by Esin who was most helpful and so pleasant and sweet.  We cannot say enough wonderful words of praise for the staff. The hotel facility is lovely.  It is truly an oasis when you want to escape the hustle and bustle of London.  It is beautiful, clean, and tranquil."
October 2023,No better place in London to stay,"This was our 10th stay at Hotel 41 since 2013.  It only gets the better with each stay.  From the moment we arrive a little sleepy from our overnight flight to the last breakfast before heading to the airport the service levels are unparallel to any hotel in the world.  As I may have said in previous review, any hotel with a button on the phone that says ""Whatever, Whenever"" is a place you must stay.  We will be back again (and again).    The entire staff always has a smile on their face and treat you like family."
October 2023,Recurring theme,"Back to 41 again, and how lovely it was to return.  When you haven’t stayed for a few months, you tend to forget the amount of pleasure you feel when the greeting comes from each and every member of the team who approach with a welcoming smile.  And so it begins: the experience of being a treasured guest at every moment of contact, your every wish carried out and in many cases, anticipated and a choice offered.  This is five- star hospitality as it should be, as the prestigious Forbes rating denotes.   There are many accounts of the quality of the Team, the Executive Lounge, the impeccable housekeeping, the wonderful quirkiness of the building and the Plunder the Pantry offering (which was recommended to me by an American guest who was unaware that I was a regular, and was…"
October 2023,The best of the best,"Hotel 41 can not be beaten. It is so comfortable and relaxing with attention to every detail. We have stayed many times and will continue to do so. We feel so at home in the lounge, where we enjoy the friendly atmosphere, and a laugh with the staff. Satish, Esin Rory and Gabrielle are just priceless."
October 2023,The most fabulous hotel in the heart of London.,"An exceptional boutique hotel next door to Buckingham Palace and 2 minutes from Victoria.  Only 28 rooms, each beautifully appointed and very, very quiet, despite being in the centre of London.  The staff provide 5 star plus service from booking to departure. They are friendly, gracious and extremely helpful.  A perfect oasis for a short or long stay.  Delicious breakfasts. Snacks on display and a magnificent range of wines, cocktails and spirits."
October 2023,Practically Perfect In Every Way,"The ideal London hotel. The staff lead the charge in creating the charm, elegance, and character of this wonderful respite. They work in tandem to create incredible bespoke experiences for their guests, taking care to understand our personal and practical needs, while enriching our experiences with their own personal flare. It was such a pleasure to spend time with each and every one we met there, and sincerely appreciate their attentiveness, thoughtfulness, and creativity.   The beds and amenities are modern and comfortable, and the rooms, halls, and lounge exude cozy luxury. The lounge spoils guests with day-round availability of snacks, and there are fresh scones, jam and clotted cream after 2pm...skip the mid-day nap and rest up for your evening out by having scones and a…"
October 2023,Very unique and memorable hotel.,"I've been to many 5-star luxury hotels, but Hotel 41 left a very special impression. The entrance to the hotel was not large, but the hotel staff, who seemed to have been waiting for us from the moment we opened the door and walked in, welcomed us, guided us to a special lounge, served us welcome tea, and we received check-in service while eating a small cake. I was very impressed that the hotel already knew who we were and provided service before I even said my name. The hotel room was very comfortable, luxurious, and clean, and they provided cleaning service in the morning and evening, as well as a small gift. Also, every time we came back from sightseeing in London, they welcomed us at the door, so we felt like we were coming home every time. All of the bedding at Hotel 41…"
September 2023,Exceptional Service,"My husband and I stayed at Hotel 41 for three nights while in London. The hotel is wonderfully situated for exploring the city.  The room was lovely.  It was very quiet and the bed and pillows made falling asleep easy after a day of adventuring.  The shower had plenty of hot water and great water pressure.    The best thing about the hotel is the personal service.  The staff was eager to make sure we enjoyed our stay and our experience in London.  When we arrived after an overnight flight, the concierge saw to it that we got the best coffees to keep us awake and going throughout the day.  We were even able to check into our room early!  For the hotel happy hour, the server brought us canapés and salty snacks gratis.  The concierge was always eager to offer help and suggestions…"
September 2023,Stay here for a wonderful experience ,"I've stayed at many hotels, 5 stars among them over the years, but this place in terms of furnishings, and exceptional service absolutely stands out. In a word, it is a fabulous place and in a great central location as well. You can usually find something to critique wherever you go but we couldn't here.  From the time we arrived to when we left the service was 5 star plus. Consider this for your next trip to London as we will on our next trip...I can't imagine staying anywhere else after being here"
September 2023,Hotel 41 stay was excellent!,"My spouse and I stayed here for one night in mid September 2023. We loved it. We arrived into Heathrow from east coast U.S. at 6:30 a.m. and took the Tube To Victoria Station. From there it was about a 5 minute walk to the Hotel. We had emailed a couple months in  advance to ask about an early check-in. We got a quick reply with an offer to leave our bags and relax in the Executive Lounge. Arriving around 1000, we received exactly what we were told. The Executive Lounge was excellent! We enjoyed coffees, ordered greek yoghurts with raspberry compote (delicious) and very soon after our room was ready. The staff at check in and in the Executive Lounge were great. Our room (Junior Suite) right outside the Executive Lounge was top notch. A very large bathroom with both a large…"
November 2022,A Unique experience,"How do you describe a stay that was so exceptional it boggles the mind? Yes, this hotel is not cheap- but it is an extremely unique experience. Everyone is there to make sure your stay is the best that it can be.  My room was beautiful- there is no other description. I asked for a referral to a place that had a nice Sunday roast - with an hour’s notice. Fifteen minutes later they found 2 perfect choices, I made my selection, and off I went to a lovely dinner at a fabulous gastro pub, after they secured a cab for me on a very rainy day ( with a printed map in case I wanted to wdlk) . Or perhaps my experience walking in to breakfast, and having someone following me with pair of scissors in her hand, mentioning that I had a tag hanging out that she could help me with… Then there…"
November 2022,Loved our stay at the gorgeous hotel 41❤️,"The service was absolutely immaculate, the hotel was extremely clean and everything was so neat and tidy. I most appreciated the scent in the hotel it always smelled so lovely. Diarmaid did an exceptional job to take into remembrance our daily plans and to jot them down so we could have an itinerary! The entire staff was so kind and breakfast each morning was really delicious as well. We will definitely be coming back ❤️❤️"
November 2022,Awesome Hotel and Staff!,We stayed here as part of our 30th Wedding Anniversary trip.  Everyone at Hotel 41 made us feel special during our entire stay.  The Hotel and Staff did all the special touches as to why we will definitely stay here again the next time we are in London
September 2022,A special hotel,"It had been 4 years since my last stay at Hotel 41 when I returned in August travelling solo. Another stay ensued in late September, this time with my husband.  I love the attention to detail and special touches both in our room and the lounge and of course the fabulous staff who make staying here so wonderful. Hotel 41 is comfortable, cosy and in a great location. Hands down my favourite hotel and I can’t wait for my next visit."
October 2022,Magnificent!,"My husband and I had the absolute pleasure of staying at the hotel for a birthday treat ! It was nothing short of magnificent! The hotel itself is exquisite and impeccably cared for but what really made it for us was the staff. They are quite simply phenomenal and that includes those at the door, porters, reception staff, housekeepers - they are all an absolute credit to the hotel. Nothing was too much trouble and we had some lovely conversations with them all, each and every one showing a real interest in us both. We had breakfast which was delicious on all counts and served in the executive lounge which has such atmosphere ! The room was immaculate and cleaned to perfection with everything you could possibly need.The only downside was leaving ! Thank you so much to everyone…"
October 2022,Incomparable ,"41 never disappoints. The location is ideal. The staff is incomparable.  Everyone manages to be attentive, professional, knowledgeable and also fun! The lounge is perfect. The rooms are elegant and comfortable. We have stayed here many times and intend to visit often. It is, quite honestly, our favourite place away from home."
October 2022,"Awesome, amazing, the best ever!","This hotel was amazing.  The rooms were luxurious and comfortable.  We ate at the restaurant multiple times.  The food and drinks delicious.  Everything was perfect.  The best.....was the staff.  To the person, they were attentive, helpful and kind.  I would recommend this hotel to anyone and everyone.  WE WILL BE BACK!!!!!!!!"
October 2022,A truly lovely place,"Second time  and still just as lovely. You can quite understand why people continually return. A simply wonderful place and to appreciate it, you need to plan a stay. Bedroom once again was a sheer delight and with a perfect sleep, one could not ask for more. "
October 2022,Could not be happier,hotel 41 made our London experience as positive as it could possibly be. From the second we walked in the door the staff treated us better than we could have asked for. We never needed to ask for any service they promptly tended to every need we had. Alex was our favorite! He was so helpful with answering our questions and couldn’t have been more attentive. He recognized us when we walked into the lounge and even had our room number down. He created such an amazing and luxurious vibe for our stay here. So incredible! I couldnt recommend this place more.
October 2022,Exceptional Team giving 100% and more,"The staff truly make this hotel. From the moment you walk through the door, they are attentive and ready to help you with anything. This was our second visit to Hotel 41, unfortunately it didn’t go as we had planned. My husband was hospitalised on the day we were meant to leave. Dean and the team quickly jumped into action and prolonged my stay in our original room, provided me with support and company following my hospital visits. Little treats like a foot spa and lovely bath products where provided. I really want to thank all of the team for helping me through a stressful time, they were all truly magnificent. We will definitely return to hopefully complete an uneventful stay, we wouldn’t stay anywhere else in London. Thank you again to my Hotel 41 family. If you are planning…"
July 2022,Highly recommended,"We have visited this hotel several times recently and we have always thoroughly enjoyed our stay.  The staff are amazing.  We had a slight issue on our latest stay (nothing major), but the hotel reacted perfectly to put things right.  My mantra has always been not too judge a business on an error or mistake but how they respond / rectify it - on this note, Hotel 41 went above and beyond.  We will be back soon ……"
July 2022,The Best service you will receive anywhere!,"We spent 3 week and traveled all over the UK.  We only stayed at the the very best hotels (all 5 stars) and Hotel 41 offers the the finest service in all of the UK.  We have stayed at their sister property, the Ashford Castle, which is one of the best resorts in the world, but the experience here feels like you are a member of the the most exclusive club in the world."
June 2022,"Highly Recommend, Must Stay Here!","What an experience! Absolutely impeccable service, people, and place, starting with the champagne checkin to the beautiful room, snacks, plundering the pantry … I can’t say enough. The rooftop bar is fabulous and the perfect way to feel as if you’re in another world. Actually, everything about 41 Hotel feels like you’re in another world. The location is perfect  — just a 5 - 10 minute walk to Victoria stations (tube, train, coach), close to restaurants, a great location for Hyde Park concerts. The room was fabulous — and the service again — they even neatly  wrapped our USB cords with velcro. Every member of the 41 staff was delightful! Esin, Ellie, and other names I didn’t write down made the experience beyond expectations. I love this place and will definitely stay again. I…"
July 2022,Hotel 41: World Class,"From the moment I stepped through the front doors, I was struck by the friendly, welcoming, attentive and hospitable staff. It was a level of hospitality rarely seen. The Hotel is extremely stylishly decorated...a perfect mix of class and yet comfortable. My favorite was to go up to the rooftop terrace, order a Gin and Tonic. Hotel 41 and their amazing team are world class...cheers to that!"
July 2022,Above and beyond! ,"Stayed here my my husbands 40th, we were giving a room upgrade and greeted with champagne on arrival! This hotel will keep you coming back time and time again, and I would.love to mention Adele the service Manager who made us feel very relaxed and cared for our whole stay, so thank you Adele! 😊 "
June 2022,London Jewel,"Hotel 41 is my new favorite hotel in the world. It's location is perfect. But the main draw is the exquisite service and amenities other hotels don't even imagine. The cozy and elegant ""living room"" is perfect for breakfast, or refreshments after an afternoon of activities. We'll be back next summer!"
July 2022,Outstanding,A truly lovely hotel in a perfect location. We have stayed at Hotel 41 many times and we love it more each visit. The rooms are beautiful and the lounge is a hidden treasure. Adele and her staff make us feel like family.
June 2022,A Hidden Gem,"This was probably the best hotel experience I’ve ever had in all my travels. The hotel is small  and the rooms are cozy but the service is big! They pay attention to every detail to make your stay comfortable. You’re well looked after. The executive lounge is the heartbeat of the hotel. They always have something complimentary on offer at all hours of the day and night. Staff were helpful and courteous and went out of their way for us. It’s in a fantastic area, within walking distance to many of the sites. Definitely give it a try."
June 2022,Exquisite luxury boutique hotel,"This is a totally splendid small five star - at least - hotel. Perfect central location, within walking distance from several must-sees in London, and three minutes walk from Victoria tube station. The hotel comprises just a few - twenty-ish - rooms located on the fifth floor in a charming old building. Service, staff, interior, rooms, yes everything, is totally impeccable. It's not cheap, but I say you get value for money with a lot of staff, and very personal treatment as a guest: The staff know personally who you are, they address you with your name and you are never asked to sign a bill for a drink and so forth. Large and beautiful rooms - even for British conditions. Beautiful and nice lounge where you also eat a perfect breakfast with all the variations you should expect…"
June 2022,Partners 60th birthday treat - 25th/26th June,What a wonderful hotel! Right from booking with support from the great Victoria to having the car collected from directly outside the hotel - greeted and  looked after by lovely helpful caring staff - Steve Jones greeted us with champagne and directed us to what was offered along with the history of the hotel - lovely black and white quirky room - fabulous food - the curry room is a great experience- and the whole experience was truly marvellous making my partners celebration perfect- and of course right next to Buckingham Palace and near to the theatre district- absolutely fabulous- well done to you all X
