date_written,title,content
September 2023,Wonderful experience ,"I had the pleasure of spending a week at the wonderful Milestone Hotel in London. It was my first trip to London, I was by myself and the hotel couldn’t have been more welcoming! The hotel is located in a great neighborhood, the decor is stylish yet comfortable and the rooms, bathrooms and beds were all first rate. My days would start with a delicious breakfast and end with mouthwatering dinner whether it be in the restaurant or from room service. The Stables Bar is a great place for interesting handcrafted cocktails or a pot of tea, especially after walking thousands of steps all over London. The hotel is also very close to the train stations which I after some initial reluctance on my part, I found the trains pretty easy to navigate. Most importantly I have to compliment the…"
September 2023,Charming hotel with wonderful staff!,"A charming boutique-type hotel…..lovely spacious rooms and the common areas were beautiful.  The cozy little bar with a hunt/polo theme was our favorite, and we had several casual meals there.  The breakfast room/library was also beautifully appointed. The staff could not have been more friendly or helpful!  From the doorman to the bartender, they were all very accommodating and welcoming.  A wonderful experience!"
August 2023,"Our London ""home"" in a great location!","This was our fifth stay at the Milestone, which has become our London ""home"". I found the Milestone via Trip Advisor in 2016 and we love returning! The staff (many of whom we have come to know, since they stay long term) treated us like family from trip 1, day 1-attending to every need, large and small. They have helped with transport, bookings, reservations, room needs, recommendations. Whether housekeeping behind the scenes or greeting us at the desk, the door, the concierge stand, or in the wonderful and warm dining room, we can sense the care for every guest. The consistently high quality breakfast offers plenty of variety and I would recommend including it. The Kensington location is terrific-walking distance to 3 Underground lines and multiple bus lines to get anywhere in…"
August 2023,The VERY Best!,"My family has had the occasion (and great luck) to travel to London several times a year for the last decade. We tried many different lovely hotels but once we found The Milestone our decision was made. From the warm welcome to the farewell of each trip, our stays have been perfection. Many of the staff have been there since our first stay and have developed a wonderful relationship with our daughter, having watched her grow up. Of course, as you can see in the photos, every single room is unique and gorgeous.  The afternoon tea is not to be missed. Try a picnic in the park that they prepare and set up for you. Don't miss dinner at the always delicious restaurant. Relax in the spa. Treat yourself to a bespoke cocktail in the bar or conservatory.  Each time we go, we find a new…"
September 2023,Superb,"Excellent hotel staff are amazing so homely and friendly it’s so quirky they all know your name too, we will definitely be going back, nothing is too much trouble for them if you ask the cocktails in the bar are amazing. Zen who shown us round the hotel is fantastic too"
September 2023,Milestone Hotel - superb experience,"The Milestone is superb - we experienced outstanding staff from the moment we arrived - Doorman, desk staff, Concierge, bar and dining room staff and managers. Everybody was oriented to assist you and make your visit effortless.  The decor was beautiful throughout. We were favored with an extensive tour by the Night Manager and learned so much about the history and interior design features.  The English Breakfast whould not be missed."
August 2023,Unbelievably spectacular. Treated like royalty. Fabulous stay.,Simply glorious. Fantastic service. Great people. Excellent food. Superior in every way. Stunning. Exceeded all expectations. We cannot wait to go back. The people treated us like royalty. The afternoon tea — everything.
August 2023,Wedding anniversary stay,Wonderful service could not reccommend this hotel and its staff highly enough we stayed two nights over our 30th wedding anniversary the lady on the front desk Alice  and several other staff really made us feel very welcome we will definitely like to stay here again
August 2023,"Wonderful service, great location!","The Milestone is a wonderful hotel in Kensington right across the street from Hyde Park. My wife and I stayed there for a week for our anniversary. The staff bent over backward to make our stay incredible. Our flight arrived early in the morning before our room was ready (we knew this would be the case). The staff immediately helped us with a spot to get cleaned up from traveling and stored our luggage so we could start exploring the city. The hotel is an easy walk to the tube station as well as an easy walk around Hyde Park, to Notting Hill, and many other nearby stops.  Throughout the week, the hotel helped us celebrate our anniversary with a special cake, champagne, and well wishes. We ate at the hotel and did afternoon tea. The food and restaurant service was impeccable. …"
August 2023,Wonderful London Stay at the Milestone Hotel,"The Milestone is amongst the very best of the many London hotels we've stayed at. As soon as you enter the service is clearly at the very highest standards. Afternoon tea was lovely and all the staff made a real effort with us and our 8 year old daughter. The hotel feels intimate and full of character. The rooms are spotless, spacious and beautifully furnished. It's in a great location for visiting Kensington, Hyde park and the big national museums. Would certainly recommend without any hesitation. Thank you Milestone and all your team!"
July 2023,Just wonderful! ,"The Milestone Hotel has a very special place in our hearts. 13 years ago my husband proposed to me in one of the beautiful suites, and when we returned this year for our anniversary and a family wedding in London,  we were blown away when we opened the doors of our room to find it was the exact same suite. All the memories and all the emotion came flooding back and we were made to feel so special and pampered by the wonderful staff and their hospitality at this incredible hotel. Not only is the location fabulous, the beds luxurious and the rooms beautiful designed, it’s all the personal touches that make this hotel so special. It wasn’t by luck that we were staying in the same suite we were engaged in, they just knew and surprised us.  We loved the flowers and hand written note…"
September 2023,A Perfect Honeymoon Experience! ,"Very thankful to The Milestone for making our honeymoon extra special.  The accommodations, the location and the historic building itself were all outstanding and the service and the staff were truly world class.  Their attention to the little details of every aspect sets them apart from other locations I have stayed.  Highly recommended.  "
September 2023,True British Flavor and Service That Goes Above and Beyond,"So many London lodging have lost their British flavor, attention to the smallest detail and staff that emanates caring. Not The Milestone. We formerly had stayed at a variety of hotels, the best  being The Stafford and Hotel 41, which is a sister Red Carnation Hotel Collection property to The Milestone, but more boutique-y. Hotel 41 does  have a spread of edibles included in the rates and an honor bar. However, based on a strong recommendation from our travel agent, we booked The Milestone and had the best London hotel experience ever. From the uniformed doormen who learned our names and even walked down the sidewalk with us to give directions, to the helpful front desk and efficient concierge team, to veteran General Manager Andrew Pike and fabulous bartender Angelo, we were…"
August 2023,Welcome Home,"“Welcome home”, not welcome back. That is how personal the Milestone has become. What can we say. Personal experience. Great people. From the stories about fishing with Steve the doorman, to true tales about WWII with Joe the Conceirge, to conversations about Scotland with Steve the dining room mgr, everything about the Milestone is personal and fantastic "
July 2023,Vintage charm and understated luxury,"The hotel is the perfect blend of sumptuous elegance and intimacy. All the superlatives you may have read about it in other reviews are true to the last letter. It is a place that exudes exclusiveness, where all staff treat you with utmost care (I would just like to mention Leo Forte whom I met one morning at breakfast and who provided me with valuable recommendations). The vintage decoration in the room, in the restaurant and the foyer is magnificent, very atmospheric, yet not overdone. The personalized gifts I found in my room upon arrival were just another touch to the memorable stay I had in this hotel. Needless to say, the area where it is located (South Kensington) includes many tourist highlights worth exploring. "
September 2023,Incredible Stay,"It was an incredible stay for us.   I can't remember a better hotel than this so far in my life.  Our stay was from September,23rd - 30th, 2023. We felt very welcomed there. It started with our arrival at Heathrow, where we were welcomed by our driver (we used a car with driver, since my girlfriend uses a wheelchair), to the kindly Portier (both Steves), the concierge, reservation desk etc. . The whole staff helped at any possible time with manpower, knowledge or answers, especially since my girlfriend had to use a wheelchair. A great thank you to the whole staff again. Enjoy fantastic and delicous drinks and food (i can especially recommend the after noon tea ;) ). The location right to Kensington Park makes it even better (friendly people there, clean and really relaxing). We…"
September 2023,What an amazing time!,"I am just home from an incredible week in London. What made our trip even better was where we stayed. I can't say enough about it! From the bed, blankets, pillows, to the helpful wonderful way the staff greeted us. It was amazing There were even live carnations in the elevators! The Milestone Hotel has it all. You've got to experience it yourselves! "
September 2023,Dedicated and friendly staff.,The Milestone is a great hotel to stay at in London.  What made it especially pleasant was the friendliness and helpfulness of the staff.  from the concierge to the housekeeping staff everyone made sure our needs were met. 
September 2023,Best hotel!! Our stay was just wonderful!!!,"I loved this hotel!! My friend and I spent 3 nights in this beautiful hotel!  Perfect location, right across from Hyde Park.  From the moment we checked in, everyone was so nice and friendly!  Our room was beautiful with wonderful candies and/or cookies, so good!!! First night we ate fish and chips and yummy cocktails in the hotel bar…delicious!! We also had dinner in the restaurant Cheneston..fabulous!! Then we had the most beautiful Afternoon Tea, champagne and highly decorated desserts, sandwiches and scones! It was sooo good and our server was so attentive and just the best! When I’m in London, I will always stay at Milestone!"
September 2023,Faultless stay for our visit to the AA Hospitality awards,"As hoteliers, this hotel deserved all of it's accolades, now our favorite place to stay! A genuine welcome from the door to the housekeeping team.  Spotlessly clean, attentive but relaxed, friendly and professional.  The best breakfast, quality ingredients, beautifully presented, delicious!  Wish you had  stayed longer, but we will be back and 100% recommendation for the Milestone Hotel - The Best of the Best! "
October 2022,Exceeded my expectation!,"My room was upgraded - I had an amazing view to the Kensington Gardens. I was welcomed with a glass of champagne, provided with a bath salt, and sent a box of house made biscuits (best ever biscuits in my life). The service was beyond great! THe personnel is exceptional!"
October 2022,Great Service & Attention to Detail,We had an awesome stay at The Milestone. I've worked in hospitality all my life and the staff there was fantastic. I wish I could remember everyone's name but Zen at the Front Desk and Grant in the Restaurant were awesome; above and beyond. The Housekeeping crew were great too. Truly a 5 star experience!!
October 2022,A night to remember!!,"We stayed at The Milestone and from the start the service was fantastic, car porters ready and waiting for us, staff to take out luggage, all well dressed and extremely polite.   This was also the night we got engaged outside the Royal Albert. I spoke with staff a few days before and mentioned I planned on proposing, without hesitation they put a plan into place and while we were out that evening they covered the room with rose petals and chocolates, also champagne!   I couldn’t recommend the hotel anymore highly, everything was brilliant and without fault, we are even looking to book our next stay. "
October 2022,An exceptional hotel in a perfect location.,"The Milestone is truly outstanding in every respect.  The rooms are spacious, comfortable and well-maintained.  The atmosphere is warm, welcoming and highly  responsive to the needs of each guest.  All of the staff are polite, friendly and professional.  We travel frequently but the Milestone is our all-time favorite place to stay."
October 2022,Wonderful hotel and staff!,"My husband and I had the best time staying at the Milestone! We were so warmly welcomed and treated like royalty. The staff helped us in any way they could and the service was fantastic! The hotel was warm, comfortable and beautiful! Just what we were looking for!"
October 2022,Impeccable,"This is a true gem of a boutique hotel. You will not find friendlier or more attentive staff in London. The rooms are lovely and the location is perfect for parks, palaces and the best museums. I have stayed in many London hotels and this one feels like staying with (very well appointed) friends. I can't recommend highly enough."
October 2022,Great Boutique Hotel,The service was impeccable. The staff was excellent. The hotel’s attention to detail made the stay enjoyable.  The daily breakfast was included. The bartender made tasty drinks.  The whole feel of The Milestone was warm and cozy.  I would highly recommend this hotel. It was wonderful!
June 2022,Once in life time trip,"We travelled from Australia to the UK - London. First time ever in London after over 60 trips around the Sun, so we wanted an experience, to stay somewhere special and in a great location - The Milestone Hotel ticked those all the boxes and more. Located just minutes from Kensington Palace (SW corner of Kensington Gardens) Close to underground, bus stop almost at door step. And of course Royal Albert Hall just down the road.  Living in such a modern World - staying at the Milestone Hotel was like almost taking a step back in time. The day core was right out of the 1910' or 20's (I think). The service was also straight out from that time.  We felt like we were living as part of Downton Abbey. All the staff from the doormen, to the General Manager (Andrew); the service desk to the…"
October 2022,A true gem,"I loved my experience with Milestone hotel, from the moment I checked in. The staff was friendly and welcoming.  Enjoyed a welcoming drink prior to arrival, got upgraded to a spacious suite with great amenities.  Great dinner experience with cozy Cheneston's as well, where food was delicious and well presented. Enjoyed a drink in the intimate Stables bar during my stay. I would definitely recommend trying their old fashioned! Breakfast at the Park lounge was great, with their cozy and warm sofas and chairs, overlooking the Royal Kensington Gardens.  Very classy hotel with an old English charm, would definitely come back!"
September 2022,Milestone Hotel is a perfect home away from home,"We love this Hotel, always a great welcome and friendly service. From the moment you arrive to the moment you leave anything you want is no problem for the staff.  The evening meals are excellent. My wife is on a low salt diet, and this was achieved without any fuss, yet she still had flavour in the meals, which is not achieved at most restaurants.  Beautiful wines at reasonable prices.  The servicing of our room was excellent, and discreet.  Looking forward to our next visit."
December 2022,Excellent service,Callum in Chenestons Restaurant went over and above in looking after us when we took a 98 year old rather deaf and slightly confused old lady for lunch on 27 December.  The food was totally delicious and we were able to enjoy it all the more knowing that when she dropped her an earring he was there to crawl under the table etc.  As the restaurant was not so busy he was very happy to chat with us and charmed all of us.
November 2022,Always good,"Just a short stay this time at the Milestone. Perfect customer service and hospitality at its best.  As we are used to with any of the Red Carnation hotels. However please correct the grumpy asocial people who are guilty of noise pollution. Ridiculous how an older man watched some films on his phone with no one of the staff telling him to behave! Probably some rich guy they were afraid of correcting. It annoyed all other guest and ruined our breakfast experience. Good manors is something money can t buy. Just an exception off course because that doesn’t represent the iverall excellent experience you will get at the milestone. Coming back again soon, this time to check out Hotel 41."
November 2022,Our third stay at The Milestone Hotel,"This is, without a doubt, one of the finest hotels in London. Impeccable service, exquisite décor, and a staff that other hotels must envy. Its unique Kensington location allows you to casually walk charming side streets and mews, discovering unique local restaurants and pubs void of tourist trappings. My wife and I spent Thanksgiving week with friends who experienced their first time at The Milestone. We will be back again next year."
December 2022,A delightful surprise!,"From the moment we pulled up it was clear that the staff was outstanding.  The evening manager was exceptional and kept insisting that he buy us a welcome drink.  Each staff member  was warm and personable.  The room was lovely, cozy, well appointed and had several nice extra touches… lots of water, fruit, etc.  We stay at 5 star hotels all over the world but have not often been as “wowed” as were were at the Milestone Hotel.  We cannot wait to return!"
December 2022,Still the best ,"Second time here. Last time, six years ago, was so great that I was ready to be disappointed. I was NOT. This is really a fantastic hotel. We stayed in a suite and a double room this time and although I have stayed in places with more luxurious design and better functions in details, the staff is what really lifts this hotel to master class! They all seem to genuinely like their jobs and that transmits to a friendly, correct and personal service, from Steve the doorman wishing us welcome back home after a walk, to almost everybody knowing our name to the great breakfast staff taking care of every wish with a  smile and a nice comment. We also had quite a lot of need of help from the concierge to arrange an activity with nanny for one of my daughters which they solved 100%.   I…"
December 2022,Magical vacation,"One of the best hotel I have ever been to. Great service and everything is so clean, good food and a wonderful atmosphere. This is a unique experience for London highly recommended don’t miss the beauty and luxurious place! We’re having a wonderful vacation because of this experience"
November 2022,Fabulous Hotel,"OMG, what a great hotel!!!  It was formerly a mansion & is very warm & inviting.  We were there to check in early & room was not quite ready so had complimentary drinks in their magnificent bar.   So beautifully English traditional.  We made reservations for formal tea the first afternoon.  The room was gorgeous with a fireplace, heavy draperies, beautiful fabrics.  The service, champagne, scones etc were wonderful.  Great location across from Kensington Palace.   Close to Royal Albert Hall, Natural History, Victoria & Albert Museum.  We walked to Harrods.  Staff made reservations for us when needed.  We had a yummy dinner in our room one night & tea service twice.  Our room had a couch & two chairs & a large luxurious bathroom & again beautiful fabrics.  We stayed at the #1…"
November 2022,Comfortable and homely with a real touch of luxury,We were made to feel really welcome at every turn. The service was exceptional (as were the cocktails). The room was spacious and spotless and the bed was like sleeping on a cloud. Every staff member we came across were friendly and accommodating and went out of their way to make our staff very special. We can't wait to come back.
November 2022,"A special place to celebrate a ""milestone"" birthday","We thoroughly enjoyed our stay at the Milestone Hotel. The staff made us feel so welcome and special. Our rooms were beautiful, comfortable and had everything we needed. A highlight for us was our full English breakfast in the charming dining room. Special thanks to the friendly doorman, who always gave us the best advice on how to get around in London. We would love a return visit someday!"
November 2022,Amazing Afternoon Tea,"I used to live just around the corner from The Milestone. The first thing you notice is how nice it looks from the outside. I went here with a friend of mine for afternoon tea and we weren't disappointed. The room where we were served was elegant yet very cosy and inviting. It has a very relaxed atmosphere and the staff were attentive and polite. I would definitely recommend this to anyone who planned to go shopping around the Kensington area and wanted to finish off with a wonderful afternoon tea and amazing surroundings. It was quiet on the day we went, and I'm wondering if it's always like that - so nice to find a quieter place to enjoy good food when you've spent the day in bustling London. Definitely recommend!"
March 2023,"Great staff, great location.","Excellent service, happy to help with any request. Great rooms with very comfortable beds including nightly 'turn-down' treats. Rooms were well sound-proofed too. Very good location on Kensington High Street.  Plan to go again soon."
