date_written,title,content
October 2023,Truly wonderful!,"Our stay at The Hari London exceeded our expectations, from the beautiful room to the outstanding staff everything was perfect. We celebrated our 30th anniversary while we were there and the head concierge, Ben, made sure it was very special for us. Thank you for our wonderful stay, we look forward to our next visit!"
October 2023,"Excellent hotel, detail oriented, would recommend ","Excellent hotel.  This hotel was exceptional in customer service and value. My only issue was lumpy mattress that needed to be replaced as well as I was put in a handicap room - not my choice. But they did recognize my birthday with a lovely cake, flowers and balloons. That’s made the stay even better. Hotel room was clean, quiet, and all snacks and beverages were included, and refilled daily. I would highly recommend this hotel and stay here again. "
October 2023,A real gem,"The staff are extremely friendly and attentive.  The room was lovely. We were pleasantly surprised when returning from our night out to be greeted by a chocolate cake and card from the staff congratulating us on our wedding anniversary. The hotel is lovely, we will be coming back."
October 2023,Best hotel in London,Such a good Time in this wonderful hotel. The staff was so adorable with many small gesters done for us and our child. This is the best hotel you can find in London. Our New « home » to stay in London. Thank you so Much for your professionalism and kindness.
October 2023,Absolutly perfect,Rooms very confortables. Cocktail so god. The staff is perfect very welll coming. For Kids always smalls gesters. Thank you very much for the great moment. We come back again with  pleasure. If you go to London reserve here.
October 2023,Fabulous stay,"Such welcoming friendly and professional staff.  Slippers, dressing gowns fluffy and really welcome after a rainy day shopping.  (Also umbrella provided). Very comfortable bed, fabulous sheets in fact couldn’t fault anything.   "
October 2023,Good ,Friendly and helpful staff . Very nice  room and great location . Lovely terrace bar .  Excellent Barman who had extensive knowledge of gin and cocktails  Had to wait to check in and service in restaurant was slow . It took 30 mins to order from menu and get bread . 
September 2023,By Far the best place I have stayed in the UK,"Wow what a luxurious warm welcoming hotel! From the moment I was greeted by who I remember to be Ben to the moment I left everything was 5*  You cant pay for Smiley faces and good people but that was included in the price apparently.  From the room exceeded me expectations to the beautiful dinner in the restaurant, everything was just bliss  Thank you The Hari I will be back "
October 2023,One of the best hotels in London,Fantastic hotel in a fantastic location with amazing staff. First time we stayed at this hotel. It was so good we decided to extend for an extra night. Highly recommend this hotel and will definitely stay again. 
September 2023,Perfect boutique hotel in Belgravia,"Lovely small, quiet hotel, wonderfully situated between Belgravia and Knightsbridge. Comfortable, immaculately clean room, good shower etc. Pleasant restaurant with excellent breakfasts. But really it's all about the staff. Check-in is effortless. The concierge, Ben, is charming and knowledgeable. Every request is immediately heeded to. Each staff member we met -- right down to the engineer who arrived within minutes to check our air conditioning -- was warm and polite. We'll done, Hari. We'll be back."
