date_written,title,content
October 2023,Five Star plus experience !,"My wife and I celebrated our 40 th wedding anniversary here . Without a doubt this is the best Shangri  La I have stayed in . Over the years we have been to the Sydney.  Tokyo , Colombo , Hong Kong , Hambantota and Istanbul hotels and this is the best . The facilities are excellent , rooms very comfortable but the approach taken by the staff is the main differentiator . Their approach is that everything is feasible and they will do anything they can to make your stay memorable  . In particular Yannick the reception manager was incredible . Thank you ."
October 2023,Superb!,"My husband surprised me with celebrating our first anniversary in the Shard!  This was a lovely surprise as I never expected it! The stay was amazing and convenient as it is literary on top of London Bridge station. From the moment you enter with a welcoming drink to settling in the room… everything was absolutely amazing!  My husband and I also loved their A La carte breakfast menu and we truly enjoyed our breakfast with a superb view in the morning (we were lucky the weather was gorgeous to allow us appreciate the view).  The only tiny issue I had at our stay, is when we were out almost for over 6 hours during the day and when we got back the room wasn’t made… We called room service who efficiently sent someone to make the room and it was sorted within forty minutes.  All in…"
October 2023,Luxury location - luxury prices,"A luxurious way to spend a weekend in London, if you try to avoid looking at the price! We came here for our first anniversary and were up-sold to a corner room with an amazing view of the city. While I was hoping that they were looking to upgrade us due to the celebration (they instead charged me an extra £100 per night!) I will admit that the room was brilliant. Spacious, modern, but mainly the sweeping panoramic views to die for.  Breakfast was again expensive but high quality. You’ll be looking at £42 per person for the buffet, with an a la carte option with your typical selection of breakfast offerings. We didn’t eat for dinner while we stayed.  The location is excellent as it is situated directly above London Bridge station - you’ll be able to see most central London…"
October 2023,Best experience ,Lovely place with me of the best views. Took my girlfriend for her birthday and she enjoyed very bit of it. Food was amazing and to top it Jamila gave us such amazing service. It was a night to remember. 
October 2023,SIMPLY OUTSTANDING!,"Outstanding service from Mathias and team. Food was delicious and the views from our window booth were breathtaking! Beetroot salad for starters, short rib, five spice beef with veggie sides. This was the best anniversary dinner we have ever had, topped off by Mathias with a surprise selection of chocolates presented on a plate of liquid nitrogen- simply magic! HIGHLY RECOMMEND!"
October 2023,Spectacular,"We stayed for one night at this amazing hotel for a special surprise for my birthday from my husband and from the moment we stepped through the ground floor doors we were made to feel like royalty!! We were early as we had just arrived from another hotel after seeing Madonna and we were able to drop our bags and fill out all the necessary paperwork before our room was ready, we were greeted by two absolutely lovely lady receptionists who were so friendly and super efficient, they promised to text when the room was ready … which they did!!   Upon getting to our room, after an afternoon of exploring, I was completely blown away! Putting the card in the slot, up came the blinds snd my … what a view!!!! We were on floor 49 with a bath with a view and it did not disappoint at all! …"
October 2023,Super good experience,"Super nice staff. Thanks to Jenny, Rahul and Maric for amazing experience. Food is nice. We had testing dinner. Wow portions are big.  We are leaving full and happy. Few  is amazing. Highly recommended."
October 2023,A wonderful experience,"Delicious meal which was beautifully presented and the service outstanding. Our waiter , Syed Giiannis , was particularly attentive , polite and cheery . Couldn’t have asked for better for a more perfect evening !"
September 2023,Great atmosphere,"All plates are fantastic , in partic the food prepared by William , Marcin and served by Dave and beverage served by Giorgia Olga and Renata are fantastic. The starter:  tuna tartar with added of peanuts it’s so delicious, Bread brioches is so incredibly in fact I eating 4 pieces. Noodles has a fantastic taste and finally desert: chocolate mandarin mousses take me to paradise. So that’s an Amazing atmosphere and experience "
October 2023,The best afternoon tea in London,Just left the beautiful Ting restaurant where myself and my sister enjoyed a stunning afternoon tea served by the lovely Mathias. I feel this venue is actually probably better than other famous afternoon tea locations in London. We were made to feel like royalty from the moment we stepped through the door and not rushed to leave. The food was incredible and we were full to the brim!!!
October 2023,"Perfection in Sky. We had the pleasure of staying here for 2 nights, which we will remember forever. Thank you","We had the pleasure of staying here for 2 nights, from the minute you arrive through to departure absolutely everything is taken care of by an outstanding team. Nothing is too much trouble, the food in all the restaurants is very special, a special thanks to Jamila in Gong, and outstanding lady, and of course Tyrone who could not have been more helpful. This is in my opinion is the standard all 5 Star hotels in London should strive to achieve. Can’t wait to return. Thank you all."
October 2023,First class service at a first class location with brilliant staff,"A friend and I went for a celebratory birthday drink at the Sky Lounge on Saturday 28th October. It was an unforgettable experience and we were treated like royalty. José, Simona and Giorgio were incredible hosts and really made the occasion so special and a birthday I will never forget. Thank you."
October 2023,Ting Shangrila,"Had a great experience! Miss Jenn, she is a Filipinas  is the one who assisted us with everything, she explained the menu and she even prepared some cake for my birthday! ;) It's really a good experience! Surely will come back again! Thank you for the good food!"
October 2023,Everything is great,We visited with my wife for our anniversary.  everything was perfect.I would like to thank Yassin and Berk for taking care of us.The food and view are wonderful. The staff is very attentive.  I will definitely visit again.  I recommend it to my friends too
October 2023,Amazing experience ,"Great customer service, amazing food & great atmosphere. Felt welcomed upon arrival, everything explained and all the offers communicated. Felt a personal touch was added to our night.  Jenny Renate served us and was amazing."
October 2023,Divine dining experience! ,"Dreamy Pink afternoon tea was absolute bliss! Everything was exquisite! The surroundings, the view, the food, the service! I cannot fault anything. It felt so decadent, a truly wonderful experience with delicacies that just melted in the mouth. Jenny was impeccable and attentive along with the rest of the team that made this experience truly one to remember, and the Shard shaped chocolate with it's dramatic serve over dry ice was so much fun! Absolutely worth every penny! "
October 2023,Cloud 9,"We had the most wonderful stay at Shangri-La after our wedding. We arrived just in time to enjoy the sunsetting. Right from the start the team went out of their way to make our stay a joy, keeping check in short so we could watch London come alive with evening lights.   As you enter, the blinds rise and you are met with the most incredible view of the river and the City. The team are so sweet that they chalk a welcome greeting onto the window to help to make the stay even more memorable   We were spoiled with roses, champagne, chocolates and macaron. Everyone who helped us could not have been more charming, friendly or warm.   We enjoyed all the fantastic facilities that the hotel boasts, especially the swimming pool.   Thank you so much for an unforgettable experience. We loved…"
June 2023,Amaze ,"Amaze  Loved the food and the view and the champagne was pretty amaze too! Service was second to none, and the food was fabulous x.   Would highly recommend for a treat but a little on the expensive side for everyday m, or unless you’re totally loaded 🤣"
October 2023,Amazing brunch with the SkyLounge team,"Wow! It’s our 2nd time & we celebrated our daughter’s bday with a nice brunch. The entire team went above & beyond from Simona, Noni, Viola, Jojo, Asoree to Tatiana. They were all outstanding. The menu & drinks offered a wide variety. Overall a great experience, food, ambiance & service was superb. I’m a big advocate for breast awareness and glad to see the place decorated with pink ribbons to show support. Hope to visit again!"
October 2023,Terrific high tea at Ting!,"Terrific time at Ting!  High tea with scrumptious sandwiches, creative and delicious sweets and the marvelous Shard concoction! Bubbly and cocktails, fabulous views from all sides, beautiful setting-  exceptional service and attentiveness from Alex Pardis! Had a fabulous time!"
November 2023,Afternoon tea ,It was an Amazing afternoon tea. Lovely cakes and beautiful view. Our server Jing was so polite and friendly. She made it a very enjoyable experience . I would recommend it to anyone who enjoys afternoon tea. 
November 2023,Unforgettable experience ,Anbu is the best! Awesome experience. They were very polite and professional to give us a seat with a great view and tasty cocktails. Thank you! We’re lookIng forward to coming again. Coming in the hotel for a few days is something on the bucket list
November 2023,Great experience @ Ting for Afternoon Tea,Excellent experience on the afternoon tea. Jung was a wonderful host to me and my wife on our anniversary.  The staff was friendly as can be. The tea selection was excellent. Highly recommended.   Thank you Ting staff!
November 2023,Wonderful breakfast experience ,Service and quality of produce are impeccable. Wonderful breakfast.  Fresh vegetables like no other. Facility is very spacious and the view is breathtaking. Greatest Oolong tea we had in England.  Thank you 
October 2023,"A must do experience, stunning views","A must do experience. I have been up the shard twice now. It’s definitely worth the visit, stunning views over London. We visited the hotel restaurant, the drinks are very expensive so be warned! But it’s more about the priviledge of the views you get over London. Would recommend."
October 2023,Dated and tired,"The rooms are incredibly tired and dated.... it needs a total overhaul to call it a 5 star... at the moment I'd rather stay in a holiday Inn.  Rooms don't give that ""lux hotel room"" feel... more like an office... Ware on parts of the room need changing untill they are totally re-fitted... a real shame"
October 2023,"Super afternoon with family - thank you,  Yassin","Had a brilliant afternoon here today with my wife and 2 children aged 8&12. The service from Yassin was flawless.  We struggled to get pictures of ourselves with the beautiful backdrop,  but Yassin helped us by going above and beyond and recommending the best spot and also taking our picture.  Will definitely be back,  thank you!!"
October 2023,That View. That Service. But…,"For the price, it fell short in so many ways. The doors are scratched (I mean shredded) the bath rug was frayed, the bed skirt was torn, the mattress pad was not attached on three of the corners, the window had writing on it from a previous guest, the window coverings could not be operated individually (that we could find) so instead of our neighbor having a clear view into our room and them into ours, we had to close that entire wall of window shades instead of just the one that would have shielded us. There was tape on the walls left over from maybe a decoration? The metal finishing on doors/walls was severely scratched, the binoculars had a nice cheat sheet to show you what you were looking at, but that little booklet was old and frayed and dog-eared and overused. There were…"
October 2023,don’t ever miss this place if you come to London!,"Great view and the food was superB 🫶🏻🫶🏻 love everything in here! We ordered 3 main courses menu, and I highly recommend the beef tartar, dingley dell pork and berries vacherin! The service was nice, staff is super friendly, he’s name is Yassin."
October 2023,Afternoon tea at Ting ,We had a pleasant afternoon tea at Ting with an amazing view over the city London. The little pastries and sandwiches tasted good. Jing an Ana were very helpfull and kind.  Thank u for you're hospitality. 
July 2023,Thank you Ana 😊,Ana thank you very much for your excellent service. We had and amazing birthday celebration. Delicious food! The tamarind prawns was our favorite dish and the Rose wine was great. Good recommendations from the sommelier.
July 2023,Birthday dinner,"very lovely view! Jenny’s service is fantastic! The food has big portions, recommend the pork dish. Had my best birthday here, thank you Jenny and thank you Shangarila!! My whole family had a lovely evening here. "
July 2023,Excellent,"All the cuisines are tasty and J.C.’s professional and warm service makes it more perfect.The steak tastes tender,the egg is well cooked,and the cocktail is also first level.Anyway,it is worth a try.."
July 2023,Lovely!,"Yassin and Jenny did such a great job serving us, thanks a lot, that’s really impressive! Views are just something and these guys made our stay muuuch more wonderful  Food and drinks are on another level 10 out of 10!"
July 2023,Lovely experience ,Delicious dinner with a view! We enjoyed the 3 course set menu. The steamed pollock was outstanding. Dessert was sublime. Jing and Ana were very accommodating. We really enjoyed the experience. The ambience was really nice and I would definitely recommend it for a date night!
July 2023,5 star! Couldn’t recommend more.,"An amazing experience from the moment we checked in.  All staff were attentive and very welcoming. The room was more than we could have hoped for, with every need catered for, and obviously immaculate.  Even an extra personal touch of a birthday cake and card in the room! Breakfast was the best we’d ever experienced with friendly personal service from Dave and all staff greeted us warmly and were very helpful.  The food was delicious with so much variety.  Overall the best experience, we didn’t want to leave!"
July 2023,Loved it,"Really enjoyed our dinner at Ting. Very good service. Syed and Ana took good care of us throughout the service. We also got delicious complementary deserts which we really enjoyed! And of course what a stunning view from the windows! Also, very thankful to the kind staff member who happily took our photos, making sure we get a nice background! "
July 2023,Ting Anniversary Date Night,"Alex was an amazing, attentive waiter. Made us feel comfortable and relaxed. Food came quickly, drinks were amazing. Luckily we had window table too. Definitely will come back, thank you Alex,  thank you Ting."
July 2023,Sum-Ting amazing ! ,"A very enjoyable experience, the food was amazing and our waiter Syed was helpful and knowledgable with regards to the menu. We had the tamarind prawns on his recommendation and it was our favourite dish!"
July 2023,Recommended,"Good food, great service. Thanks to Ana, Syed, Marlo and Manuel for great service. The family enjoyed the good and ambiance. Great food recommendations from the staff. Would recommend others to visit too"
August 2023,Nice experience,"Good service, afternoon tea experience was good. Enjoyed this experience. Jing was very good at serving us. Vegetarian menu can be expanded. Would like more vegetarian options. Overall good experience."
August 2023,Excellent service,"Carlos and Rahul were the best and so pleasant to have around. They really made our experience very pleasant and luxurious. Their attention to detail and warm welcome will always be appreciated. The food was also great, very flavoursome, but Rahul and Carlos just made the experience well above expectation."
August 2023,Afternoon tea,"My husband and i had afternoon tea during our trip to London, the sky was blue (lucky day) and the view was amazing. Dave at the Ting was extra attentive and went above and beyond with our table. Thank you so much!  "
August 2023,"Great food , service and tea",Amazing service and food. Alot to eat so make sure to come hungry. Dave was a great server and had some great recommendations and handled feedback very well. Many desserts all different flavors and a mix of savory and sweet to satisfy different tastes.
August 2023,Dave for the win,It was our first time here and everything was so tasty! The service was impeccable. Dave did a fantastic job as our waiter. His tea suggestions were the best of what we had (get the Mango tea & white apricot!). I highly recommend!
August 2023,Solo tea time,I did the tea time at Ting. Obviously people come for the view but the food and service are perfect as well. My server (Dave) was incredible. He handled his tables well and knew how to provide everyone with a great experience. The spread for a tea time was great. I would recommend!
