date_written,title,content
November 2023,Above and beyond,"Hotel 41 is the epitome of a boutique hotel. If you're looking for an intimate experience, Hotel 41 is sure to meet your expectations. From the moment we walked in the door, every staff made sure we were welcomed and made to feel special and a priority. From a champagne greeting to afternoon tea to evening noshes, we couldn't possibly have ever have gone hungry or thirsty. When we went sight seeing, they prepared a goody bag for us to take along. We had an evening spent in their theater room for a movie, popcorn, and sweet treats. What an experience on such an elegantly, well appointed hotel. I watched one staff polish a door to a high shine and was so impressed - he didn't just wipe it down, he really got it to shine! That to me conveyed what Hotel 41 is all about: commitment…"
August 2023,A delightful experience in London !,"This is one of the very best luxury hotels ever ! The location, furniture, quality of beverages and food were awesome. But the very best of all is the team, everyone was very helpful and friendly, principally Eder. Thank u very much Eder ! For making us feel at home. Hope see u soon ! : )"
November 2023,If you are looking for somewhere to stay for a special occasion this is the place.,The best hotel we have stayed in when in London …. The staff and the atmosphere were amazing. We were staying for a very special anniversary and they did everything to make sure it was special. The rooms are superb and comfortable and the food provided was amazing.
November 2023,Another stay another WOW,"It wasnt the first stay at the Hotel 41 and for sure not the last. I travel alot around the world. I‘ve seen many really great hotels but the crew of the 41 really achieved the highest level of service quality. Whats unique whats different to others? The attention to detail! Everyone knows your name / they really invest time to get to know you / they really wanna give you a unique experience. I‘m a gay traveller usually there is no need to mention this fact but this time it is. After the turndown service we received slippers by the bedside with a bag stiched with His or Hers (thats what my parents received) we, both men, receiced twice His. That kind of attention that feeling of beeing taken care of was really unique. It touched my heart on a really special way and will stay…"
November 2023,Business trip ,"Came for a business trip and had a brilliant stay! Couldn’t recommend this hotel more, was lovely to come back to such a clean and welcoming environment after a long days work. Staff were also brilliant! Will be staying again "
November 2023,PERFECT AT ALL,It is not necessary to write more than everything is PERFECT there. There was nothing less than perfect at this excellent boutique Hotel. It was 3 days stay and the whole family says the same thing We'll visit London again but stay there absolutely.
October 2023,The Definition of Excellence in London!,"To these well-travelled guests, Hotel 41 is the new standard-bearer for the five-star experience. We have stayed in larger hotels, more expensive hotels, and newer, hipper hotels, but my wife and I have never experienced such sincere, friendly, and genuine hospitality and effortless comfort and luxury as we received on a recent nine-night stay in London.  Hotel 41 is run as a private hotel with only 28 rooms and a central lounge that functions as social club, dining room and lobby, which lends the whole affair an air of intimacy and exclusivity. However, it is the meticulously trained and knowledgeable staff that makes one’s stay truly exceptional and memorable. They really get to know their guests, and always endeavor to delight with kindness and professionalism that borders on…"
October 2023,An intimate gem in the heart of Westminster,"We visit London regularly and were delighted to discover Hotel 41. It is a boutique hotel with limited rooms in the heart of Westminster - a stones throw from Buckingham Palace. The rooms were clean and spacious. The staff was professional, efficient, and friendly. Meals were a delight in the beautiful main lounge area. Guests are pampered by the service and availability of snacks and other goodies in the pantry area. We would highly recommend Hotel 41 and definitely plan to book our next stay there."
October 2023,"Excellent, as always!","Once again I’ve had the pleasure of staying at 41.  From the welcome when I walked through the door, the ambience, service and sheer quality of the establishment were so satisfying. Having arrived and sat down to drinks and canapés, we settled down in the Executive Lounge after our journey, before heading to our  rooms close by to relax before going out for the evening meal.  The Turn-down service ensured that, having had my luggage taken to my room, and having freshened-up before going for dinner, the bed was warmed by a hot-water bottle, the fire was burning and music was playing upon my return.  Adele, the Resident Manager and her staff catered to our every need, with Gabriel attentively making sure that our drinks were topped up.  Having slept so well, we were greeted by the…"
October 2023,Great Vacation,"We thoroughly enjoyed our recent stay at Hotel 41.  Every staff member that we came in contact with was ever so helpful.  I would like to thank Nishan for all the work he did prior to our arrival.  He recommended and arranged all of our tours, restaurants reservations, shows, etc., and secured the tickets prior to our arrival. His expertise was invaluable.  Our morning breakfast was handled expertly by Shadrack; he was efficient and an absolute delight. Throughout the day we were greeted by Esin who was most helpful and so pleasant and sweet.  We cannot say enough wonderful words of praise for the staff. The hotel facility is lovely.  It is truly an oasis when you want to escape the hustle and bustle of London.  It is beautiful, clean, and tranquil."
February 2023,"An introduction that went really, really well.....","Three of us checked in to 41 – two of us as regular returnees and one as a new guest – to kick back and relax.  Dean had coordinated the new booking seamlessly and was there to greet us. From the outset, our friend was impressed with the efficiency and outstanding, welcoming service that we know is the heartbeat of 41.    Another success was our supper reservation at The Curry Room downstairs. Read a separate review for that excellent meal.  No need to venture outside on a cold night. Just sign your bill to the room.      Plunder the Pantry on Saturday night was the acid test after a delightful lunch at The Wolesley followed by a long walk.  He loved that evening’s offering of pork pies, cheese, and pickle jars, and went back for seconds of the mac'n'cheese.  And this was after…"
February 2023,"Lovely hotel, great location, outstanding service.","We stayed at this hotel for 2 nights in February 2023. Good room, great location, but most impressive- outstanding service from every single staff member.  Helpful, courteous and knowledgeable, from the chambermaid to the manager. Fabulous!"
February 2023,Best hotel stay ever,"This Hotel and the staff are simply unbelievable! From the moment we walked through the door to the moment we had to leave I cannot describe what a fab stay we had. Unforgettable and we will return!   The service, complementary food, the room, the location - everything was simply perfect and made our anniversary stay so special.  Thank you!"
December 2022,The Best!!,"I would recommend Hotel 41 for all the obvious reasons - the best location in London, rooms, amenities, exceptional service and most importantly; value for money. I have stayed at Hotel 41 previously and most recently stayed at the hotel during the end of December 2022. It is what you would expect from a 5 star hotel - absolutely no faults. But, what sets Hotel 41 apart from other hotels are the amazing staff. They make the experience of staying at this hotel truly memorable - they are always friendly, extremely attentive, and clearly the best at what they do. Nothing was too much trouble for them and the smallest of details matter, from arrival to check out. Thanks again to Adele, Marlen, Dean and Dermo that were willing to go out of their way to make it an unforgettable…"
January 2023,Best 5-star hotel,"My wife claimed to be speechless when we entered our room at Hotel 41, but the superlatives kept coming.  From the very discreet entrance near Buckingham Palace to the check-in process (with complimentary drinks and food) to the executive lounge, the facilities are luxurious and the staff professional and extremely friendly.  The list of things they can help you with is long and includes packing your belongings prior to checkout.  The hotel is located in a very nice area of London within short distance of places to visit and a 2-minute walk from an underground station.  A stay at Hotel 41 is a lifetime memory and it is the best 5-star hotel we have visited."
January 2023,Lovely stay,"Everyone we met was so lovely. They remembered everything about us, couldn’t be more helpful and were very attentive. Wish we were there longer than 1 night. The room was really nice and the little touches like the candle in the bathroom made it extra special. "
January 2023,Incredible ,"We had our trip gifted to us for Christmas and it’s safe to say we will most definitely be back. The whole stay from the moment we checked in and felt like Luxury. The staff are phenomenal and cannot do enough. There is so many fabulous touches, the candles and petals in the room, the complimentary pantry, scones, ice cream. Not a single bad word to say as the hotel was incredible. We are looking forward to coming back to experience the pure luxury again! "
January 2023,The Perfect Stay in London,"Hotel 41 was the perfect stay in London. From check in to check out, every need and question was catered to. The staff was unbelievably friendly and really went out of their way to make my stay extra special. All the small noticeable touches were so lovely, especially the turn down service, what a lovely way to get ready for sleep. The executive lounge was such a beautiful spot to sit outside of the room and socialize with other guests. All the food, from afternoon scones, to plunder the pantry, and all the treats available all day long, the canapés, there was literally not a single moment to feel hungry. The breakfast was top notch. I don’t have a single complaint about my stay and cannot wait to return in the near future."
