date_written,title,content
January 2023,Flawless,I visited Ormer with my friends last Saturday 21/01/23 and I have to say it was one of the most amazing meals and experiences I have had in a long time. We had a drink at the bar before our meal and the service and...More
September 2022,Wonderful 30th Anniversary Dinner,I'm sorry this is a bit late (September 22) but I need to get back into travel / Trip Advisor mode !! . A remarkable 6 or 8 course tasting menu  and a terrific range of wines (often by the glass)  We were told there...More
December 2022,Ormer Mayfair at Flemmings Hotel,"This is by far the best I have ever experienced not just the food, its the full package the service was so on point. The staff were all friendly & professional without being over the top. 
We went for the tasing menu everything was an...More"
December 2022,Dinner with daughter and son in law,"This is an amazing experience for food lovers. The standard is 3 star Michelin, magnificent food, beautifully presented and served graciously. 

Every course unique, magic from start to finish. Surroundings tasteful, staff very professional and knowledgeable. 

We didn't want the experience to end! 

I cannot...More"
December 2022,Hidden gem!,"My partner and I had a great birthday dinner at Ormer Mayfair. The dining room is beautiful, Art Deco style, and pleasantly quiet. On the London dining scene, more often than not you are forced to shout to be heard across the table! Not at...More"
August 2022,Simply perfect,"We've eaten here 3 times; this was our first experience since Shaun Rankin has left and I ahve to say, it was by far the best.
We opted for the 8 course tasting menu which was exceptional, honestly breathtakingly good.
What sets Ormer apart is...More"
October 2022,Incredible experience,"Such a wonderful evening. Our table was ready when we arrived 10 minutes early so we were seated. Was lovely considering how busy they were. The staff were friendly, attentive and knowledgable on the menu and dietary requirements. The flavors were spectacular and nothing I...More"
November 2022,Fabulous,"A dazzling young chef offers 4 tasting menus (one vegetarian) with imaginative, exquisitely-prepared dishes that stay in the memory for a long time."
October 2022,Thank you for this wonderful evening,"Wow, that was a great ambience, perfect service and a menu that I would like to enjoy again and again every day.  I look forward to my next London trip and hope to get a table again."
November 2022,Star deserving Food,"This Restaurant is literally amazing. Service is great, food is fabulous. The homemade granola for breakfast is trough the roof! The dinner including the great wine pairing was perfect also. Truly impressive and an amazing experience! It is a stunning hotel. But the Restaurant transforms...More"
September 2022,Faultless,"We were lucky enough to visit here through a gift (we could not justify the cost normally!) but I am so glad we were able to do it.

We had the 6 course taste menu with the additional cheese course and we could not fault...More"
July 2022,Awesome,"Having had a fantastic meal here some years ago, I returned to find only tasting menus available. I am always a bit sceptical about not being given a choice, but my scepticism was entirely misplaced. The menu and the wine-pairings were both absolutely first class,...More"
July 2022,A superb restaurant,"Ormer offer multi-course ""tasting"" menus which are small dishes, meticulously presented and delicious. They have a vegetarian and a pescatarian menu too, so they do cater for everyone.

Tables are large and well spaced out, the interior has dimmed lighting and is great for talking...More"
June 2022,The greatest meal of my life,"This 6 course taster menu was the best food I have ever eaten and I am not easily pleased! every course was just as delectable as the last and we were both thoroughly stuffed, with such pleasurable mouthfuls! The canapes and petit four were also...More"
May 2022,A genuinely special menu,"Had a private booth and was looked after superbly by the team there.
Some wonderful dishes with highlights of veal sweetbreads, lobster and Guinea fowl plus two cracking desserts.
Had the wine flight with fantastic commentary from Sergie the sommelier focusing on Iberian and South...More"
September 2019,/Elegant atmosphere/Exquisite food/wonderful customer service,"We were in the mood for a quieter evening with exceptional food and we weren't disappointed.   There is live background music, but you could still have a conversation.   The crowd is well-heeled and you feel well taken care of for the evening."
October 2019,Amazing Beef - Great Service,I visited this month as a birthday celebration and was not dissappointed by the unbelieveable food here at Ormer. The Côte de boeuf was an enormous portion between two but was totally worth it. Matteo was very helpful and made our evening a very enjoyable...More
September 2019,Great value deal booked with hotel stay ,Had a beautiful 3 course evening meal here which we booked while staying in the hotel. Great value. Nice atmosphere with very friendly helpful staff. Service was excellent and gave good advice when I couldn’t decide what to choose from a lovely selection of dishes....More
September 2019,Very enjoyable first visit,"This was a first visit to Ormer for dinner last Monday evening, but will definitely not be the last. The decor is simultaneously sophisticated and welcoming. The staff are professional and also welcoming. My yellowtail ceviche starter was brimming with flavor and I would happily...More"
September 2019,Very good ,"Booked for a Thursday lunch.....and were more than pleased with the whole dining experience, we too opted for the chefs tasting menu and have to agree with previous reviews in that this is indeed very fine.the restaurant did lack some atmosphere but then it was...More"
September 2019,Incredible tasting menu birthday celebration ,"Wow! I took my husband here to celebrate his birthday - we chose the tasting menu and included the lobster ravioli and from start to finish the whole experience was incredible. The dishes we faultless, and I am surprised this is not Michelin Starred, having...More"
September 2019,Amazingly consistent high quality,Yet again the team at Ormer surpassed expectations with amazing food and an excellent service team led by Agnieska.  Fish and shellfish cooked perfectly and the best bread in the London restaurant scene!
September 2019,Nice seafood restaurant in London,"Location:  Half Moon street close to the Ritz

Atmosphere: downstairs restaurant which explains the slightly dark appearance. The restaurant is elegant and cosy

Service: very good and adequate for an Michelin starred restaurant

Food/drink: seafood focussed restaurant with fairly unique touch. Ingredients were all very...More"
September 2019,Inventive dishes,Visited 13th September.i had informed restaurant of my wifes allergies & they were wonderful at providing her with delicious dishes.i had the quail starter duck main and apple dessert i wont give too much away but will just say what you get may not be...More
September 2019,Superb 70th!,Visited as a treat for my special birthday and the evening was everything I hoped it would be.  The staff were friendly and attentive without being intrusive.  The food was simply amazing and presentation exquisite.  We went for the tasting menu with paired wines -...More
September 2019,Perfect...,Amazing food and first class service - flavours and presentation exquisite. An all round enjoyable experience.   Highly recommend.  We will be back soon.
August 2019,Birthday treat,"A perfect dinning experience from beginning to end, Fantastic food andservice.
Will be going back soon."
September 2019,4-word review,"Just go. It’s incredible.
Now I have to fill the remaining minimum words with words like insanely delicious, fabulously inventive, stunning presentation and worth every penny."
