date_written,title,content
April 2021,Back again and booked again!,We were excited to return after lockdown and nice to see the team back together. Very happy for them and their well deserved 3rd star. Food phenomenal as usual. Service entertaining and friendly. Knowledgeable and well sourced wine paring enthusiastically explained! Naturally it’s expensive but...More
April 2021,An outstanding return,"I wonder what more I can say about this restaurant but when you keep going back you find it’s quite easy. This was our fifteenth visit and once again the food , wine , cocktails and service was nothing short of impeccable. The standard they...More"
April 2021,Brilliant just got better,"If I had to write down what perfection was in terms of a restaurant experience I would just write down Core.
It’s now got 3* status but frankly the many times I’ve been there, It has only ever been 3* in my mind.
It’s just...More"
May 2021,Amazing,From the moment we walked through the door to the moment we left this was a 3 Michelin starred performance from all the cast. From the glass open kitchen with as many staff as weren't actually in the middle of plating waving and saying hello...More
April 2021,Spectacular Lunch! Clare Smyth is without a doubt a powerhouse in the culinary world!,Truly a spectacular meal! The attention to detail and the melding of flavours and textures is just beyond! The staff is super attentive which elevates the experience all the more! So lovely to be welcomed with a hello from Chef Clare Smyth herself! Couldn’t have...More
May 2021,Amazing!,"Went here last night and I have to say every single mouthful of food was sensational.  We had the wine paring aswell and tasted some fantastic wines.

I could talk for hours but I'll save that for my friends, I would just say that I...More"
May 2021,Culinary Perfection!,"We had a fantastic lunch with superb food and service. Culinary perfection and warm yet fantastic service are expected and absolutely delivered. Well done to all, you made our visit special and the tasting menu was the best I have ever had. Worth every penny."
May 2021,"Worth the hype, best restaurant in London or even the UK","Restaurant is bright, modern and spacious. We had the core tasting menu and each dish was exceptional. The first dish arrives  and its a wow moment, the next dish is better and so on. The attention to detail, the work gone into each dish, the...More"
June 2020,The best restaurant I've ever been to,"This is the best restaurant I've ever been to. I was blown away by Claire's attention to detail, the creativity and aesthetics of the dishes, and how insanely delicious they are. I couldn't recommend this restaurant enough and wish I could eat here every day!...More"
May 2021,Exceptional from start to finish...,"Faultless. From entry to exit the food and service was exceptional. There isn't anything negative I could write about Core, brilliant!"
May 2021,Incredible - probably best,Incredible - probably best restaurant in london. Not too formal but formal enough. Better than restaurant gordon Ramsay by a fair way...been coming here since opening and forecast it would get three stars. Well deserved.
February 2021,Core at Home,"My husband surprised me with Core at Home for Valentine’s Day, and what a treat it was! The mise en place was all well packaged and thorough written instructions were provided on how to prepare each dish, accompanied by an instructional video. It was all...More"
December 2020,Sublime,"(I have nothing more to add - Booking process; welcome; service; food - all sublime). Probably the most expensive meal I've ever had but excellence comes at a price and here, it's worth it."
November 2020,One of the best dinners!,"Amazing Birthday Dinner! Came with my girlfriend to celebrate, the menu left us speechless, and the service was impeccable, they looked out for every single detail!! 
We will be back for sure!"
December 2020,Cannot Wait to Come Back,"We had THE BEST time here yesterday!
The restaurant has a lovely vibe and the team were SO welcoming on arrival and throughout our stay - was also incredible to meet Clare herself!
The food far surpassed my expectations- I’m still raving about it and...More"
May 2023,Overly rehearsed,"Food was solid. Dessert was the highlight which is rare for me to say. The duck dish needed a stronger accompaniment for me, it felt like I was going through the motions eating the 3 pieces of duck rather than lapping up the accompaniments. Amount...More"
June 2022,Great meal,"Great meal, nice wine list 
Started with a aperitif on the bar , found slightly expensive as the atmosphere isn’t really special. 
Nice tables with great intimacy, slightly to dark on my taste but make a charme to the place 
The canapé was really good...More"
April 2023,Perfection,Went for lunch and had the classic menu. The food was very tasty and the presentation  perfect. The service was perfect as well. Atmosphere and decor are very pleasant.
March 2023,Re : Great Dining Experience with Impeccable Service ,"This popular 3 Michelin Star restaurant is quite possibly the hardest restaurant to get a reservation in the whole of London. Helmed by Chef Clare Smyth, a previous Portege of the famous celebrity chef Gordon Ramsay, her own restaurant setup in 2017 has so far...More"
April 2023,Wonderful Treat,"This really was one of the best meal outings we have ever  had. We have had many tasting menus around the world, and on this occasion we chose the Core Seasons Tasting Menu. There were 2 Pescatarians in our party and one meat eater. Every...More"
April 2023,Incredible,"Fabulous, service impeccable loved the hello's from the chefs from within the kitchen.

Warm welcome all round from everone.

Food sublime the wine pairing was delightful matched every magical course.

Fabulous experience!!!!"
April 2023,Absolutely Stunning ,Absolutely stunning. The food was beautifully designed and delivered with style.  The atmosphere was friendly and relaxed.  We loved every aspect of our experience.  Thank you !
September 2022,what a divine experience ,the most outstanding food and service i have ever enjoyed. the seasonal tasing menu was knockout and the sommelier complemented our food with fabulous wine choices.
April 2023,"Just lovely, but why?","As excellent this time, as was as first visit; but why?

From the moment we walked through the door the hospitality was evident. All the people were so friendly & helpful. When I asked the sommelier for help, she couldn’t have offered more advice. Trying...More"
March 2023,"Refined, ambitious, bold the runaway leaders of tasting menu runway.","This is an absolute gem, beautifully elegant in design of the restaurant the food and the service. 
If you are looking for a relaxed dinner, set in a quintessentially English dining room this ticks all the boxes.
Arrival - lovely bar (well stocked) I had...More"
March 2023,Incredible experience,Had lunch at CORE for my wifes birthday. I'm really just lost for words on how to describe this experience. The food was simply incredible. Every dish was a work of art and was beautifully cooked and presented. The flavours were phenomenal. If you are...More
March 2023,Stunning ,Stunning stunning stunning that’s all I can say the food is sublime and service is totally amazing this was for my 60th birthday and it did not disappoint. The chefs are so talented you just cannot believe the flavours just superb.
March 2023,Outstanding! Excellent Value for Money.,"If you’re looking for a spot to celebrate, commemorate, or just sit down to some of the finest dining in Britain then look no further than Core by Clare Smyth. Her Nottinghill 3* restaurant is exceptional and definitely worth a special journey! Fresh, tasty, innovative,...More"
March 2023,Outstanding food and exceptional service,"Outstanding food, impeccable staff. We had two of the core classics tasting menus and found everything to be sublime. It was a wonderful experience from start to finish - the food was served by friendly and knowledgable staff, and the sommelier was wonderful. Because the...More"
October 2022,The pinnacle of fine dining,"Exquisite food, beautifully presented in wonderful surroundings all come together perfectly to provide one of the best fine dining experiences you could possibly hope to enjoy. Absolutely stunning. Impeccable service from professional and knowledgeable staff who couldn't do enough to make your evening perfect. Food...More"
December 2022,Perfect,"Another fine meal in London. What surprised me was that there was a second dinner sitting on Friday night, nine-thirty onwards. We were early but they had a very comfortable bar area and a very obliging bartender. Their rye based old fashion, but their special...More"
November 2022,Return after 4 years to see it now at 3 rather than 2*,"What a sensational visit. 
Gently refined a little from last time pretty perfect then but even better now.
We had the seasons menu.
We started with the most comprehensive and stunning amuse bouche I have ever tasted. Stunningly presented and each element delicious.
The menu...More"
October 2022,A truly memorable experience!,"Phenomenal gastronomic experience! Visited
in October with my family to celebrate my
birthday and was without a doubt one of the
most pleasant and memorable experiences of
my life. All four of us opted for the seasonal
tasting menu and every dish we were
lucky...More"
November 2022,Absolutely one of the best!!!,"My wife and I visited Core with our friends and we were astounded! Clare Smyth is on a par with Gordon Ramsay and Alain Ducasse. The food was fabulous, we could not fault one dish. Every dish cooked to perfection and each had delicious flavours....More"
November 2022,One of the best two meals I have ever had,"It will be difficult to review Core without running out of superlatives. The whole team are at the top of their game and deliver as near to perfection as you can get. The only place I can truly compare to it is The Waterside.

The...More"
October 2022,Exceptional and flavourful cuisine. Flawless service. One of the best restaurant in the world.,"This is one of the best restaurant in the world, no more no less than that.

It was my first time at CORE, and the expectations were really high.
Everything has been almost perfect.

All the dishes goes straight to the point: flavourful, perfectly cooked,...More"
November 2022,An Amazing Meal,"I think today's meal at Core is genuinely the best I've ever had.  From the friendly staff, being waved at from the kitchen as we walked in, to the wonderful dining room, to the incredible food - where do you stop?  There was nothing stuffy...More"
October 2022,Outstanding!,"This restaurant is incredible. From the moment my wife and I entered the doors, we were greeted by friendly staff and welcomed. Going to a 3 Michelin star restaurant is an intimidating affair but Core is different. 

As we walked to our table, every staff...More"
September 2022,"The Core, out of this world cuisine !!!",I took my wife to the core as a belated birthday meal on Friday evening. We had the tasting menu & the wine to go with the meal & every course was a explosion on one’s taste buds. They have  taken fine dining to another...More
