date_written,title,content
May 2023,Amazing,"Excellent from start to finish, I booked for myself and my clients and everyone was blown away by the menu. It was creative, innovative, and fine dining at it's best, will hopefully return very soon."
June 2023,a fabulous memorable evening ,"simnply amazing, a memorable date. we invited our friend for her birthday and from the start to finish it was excellent . food, creativity, service, attention what a wonderful experience"
June 2023,Great food and service,"Went for a work dinner and the food was delicious and the service was very good.highly recommended , food much better then few years ago ."
June 2023,Amazing food for the hedge fund brigade,As someone who has worked in the area for 15 years I was keen to revisit the Ledbury after enjoying a meal there many years ago wife my wife .  This was prior to the second Michelin star being awarded.   I would say that being...More
May 2023,Believe the Hype,My second visit to The Ledbury - my first since it’s grand reopening. The food is flawless. Creative and interactive (we were led to their mushroom fridge and my partner was given a knife and instructed to forage our mushrooms - they appeared a few...More
April 2023,Exceptional in Every Way,"I can only offer this dinner was the most incredible experience we have ever had at a Resturant in our lives and if I had other words in my vocabulary I would use them.
From the welcome at front of house to the service, then...More"
April 2023,Best Meal of The Year,"This dining experience was the best I've had (and I dine out a lot!) in probably a year. The service, food, wine list, and casually elegant atmosphere were all top-notch. Every bite of each dish was a taste sensation, and the wait staff was so...More"
March 2023,"Top notch dishes, unfussy presentation, memorable flavours, stand-out service! ","Dined on 31/03/23

When I entered, I was warmly welcomed by a keen, young group of staff. Before my meal, I used the toilets, and on the way, my eyes were caught by the cabinet which Brett Graham uses to grow the mushrooms used for...More"
February 2023,Perfection,"Our family of four visited The Ledbury on 4th February for our daughter’s 18th birthday. This was our third visit to this exceptional restaurant, and our first since the restaurant re-opened after Covid. Everything about the experience was as fantastic as the first two occasions....More"
February 2023,Excellent,"Chef Brett Graham's innovative cooking,
The two Michelin-starred restaurant opened in 2005 and has won many accolades: it’s rated among the top 50 restaurants in the world and is considered one of London’s very best. Featuring British produce and wild English game is the focus. Unfortunately it closed...More"
February 2023,Everything is perfect; the restaurant to emulate,This was my third dinner at the Ledbury and my first time post covid.  It is expensive there is no getting over that but it delivers the value.   The room is a nice size not too large or small.   The best first part is that...More
December 2022,Excellent accueil,"What an amazing experience. The food and staff were excellent. Special thanks to our waitress for her kindness and super professional advice on delicious food that my guests and I were having. We'll definitely come again!
Happy Christmas to you all."
December 2022,Exquisite from start to finish,"I was so excited to finally get here after the Covid years. We had the 8 course tasting lunch menu (crab, mullet, veal, lobster, mushroom, deer, meringue, ice cream) and as white truffles are in season we added that option too. The courses start with...More"
December 2022,Top location,"Excellent restaurant with magnificent vibes.
We had one of our best meals in London.
The service is professional and very friendly.
Thank you and we will visit soon."
March 2022,My #1 restaurant in London,"This is by far my favorite restaurant in london, the flavors, experience, service, ambience, honestly a 5/5 from every aspect, their homemade kombuchas is a must try, the rest leave it on the head chef Brett and his team."
September 2019,This Restaurant 10 Star rating,If you only go to one stand out restaurant in London - make it The Ledbury. Hint: go for lunch there is a sensational set menu for GBP80.00. The taste sensations of each course is out of this world accompanied by a suggested wine from...More
August 2019,3.5*,"The food was amazing. Aesthetically you can't fault this place. Staff on the other hand could improve there service a bit. We weren't being picky or constantly calling them over. We simply needed to know which meals had nuts, olives and radish in as my...More"
September 2019,Good for London,"After the terrible 3-stars French restaurant in Bray we've been the night before (which I strongly suggest you to avoid, The Ledbury was for us like heaven (except for the small and bad positioned table we've been given). Anyway I must say the experience with...More"
September 2019,"Brilliant, but...............",OK - let me say that everything you read in the other reviews is right.  The service is friendly and very efficient.  The restaurant is airy and light with plenty of room between tables. And I loved the tasting menu with their selected wines.  If...More
September 2019,Welcoming and wonderful experience ,"We chose the Ledbury as a London special treat, on the recommendation of friends who dined there in the past,  and it certainly met our expectations. The staff - there are many and from many different countries and backgrounds - were warm  and took time...More"
September 2019,Outstanding ,Opted for the 8 course taster and every course was outstanding. Impeccable service in a relaxed dining room. Shall return soon :)
June 2019,"Amazing, a Must! ",So so good. Every piece of food that was brought out was like a piece of art. We got the tasting menu and were more than satisfies with the the amount of food. I don’t east red meat and our friends eat Kosher and the...More
September 2019,Second visit and just as fabulous ...,"Is anyone cooking better in London?  It’s the Ledbury or Clare Smith (CORE) for me.  Absolutely fault free cooking, wonderful wine pairing and impeccable service.  If this is two stars what does it take to be three?  As close to perfect as you can get!"
June 2019,Twice,"I have been there twice and each is amazing experience.  Very personalised, friendly & relaxed atmosphere & service. Guaranteed to be one of the best meals you'll have"
September 2019,Outstanding - Darren was brilliant!,"The dinner was absolutely incredible, as anticipated. We were very pleased with all 4 courses but what we were particularly impressed with was the outstanding service. I happened to mention to the general manager, Darren, that I was going to Dublin this weekend and five...More"
September 2019,Perfection,"Went for lunch on a Saturday to celebrate a birthday. The service was excellent, the restaurant is beautiful and the table setting is superb.

The tasting menu is absolutely delicious and a celebration to the eye."
September 2019,A return trip:  this is perfection in fine dining,"Our second time here this year.   The restaurant is amazing.   The staff are without exception all excellent and willing to converse.   The food is perfection, each item lovingly created.   Wonderful tastes,   This is perfection in service. 

We had the tasting menu and we had all...More"
August 2019,Really good,"This place is really good, the food is good and the presentation will blow your mind. Definitely a good option for a special date. If you really want to treat yourself, highly recommend the Tasting Menu..it will give you a clear impression of what this...More"
September 2019,Fine Dining and Superb Service,"We loved this place! We spent 6 days in London and enjoyed a superlative dining experience here for our anniversary. The location and atmosphere are a study in understated and cool elegance, the staff is professional yet warm and engaging, the sommelier helps guide you...More"
August 2019,fantastic food and service,This place is a truly special treat. Service was amazing and the food beautifully presented and tasted amazing. They worked very well with my intolerance's also and even created courses for me as I could not eat some of the food in the main menu.
November 2019,I was not feeling well but I get to eat something...,Thanks to the chef who sorted me out with this lovely soup and ginger ice cream. I did not expect to eat anything at all but thanks to your lovely staff I had this delicious Spanish parsnip soup.
November 2019,"The Ledbury in Nottinghill, man what a frill !!!","We went to the Ledbury for a special occasion & as always the cuisine was superb, we had the tasting menu, coupled with the wine menu & it just took the meal to another level. As always the service was second to none, they have...More"
February 2019,Top dining experience,"Wonderful menu, great service, amazing mix of tastes, very nice distance between table and considering the Michelin star not extremely expensive. No doubts the best London dinner so far in the last 7 years"
November 2019,Tasting Menu not up to standard,"A bit disappointing in terms of the menu and what you would expect from a 2 star restaurant.  None of the four courses looked special, tasted outstanding and for an £80 per person cost a bit of a let down. All courses were a bit...More"
November 2019,Boring stuff first - they,Boring stuff first - they have a credit card linked 48 hour cancellation policy with an 80pp no show charge. Fair enough I guess - no doubt they get people no showing. But just be careful of this if you want to avoid getting in...More
November 2019,Absolutely Gorgeous - A Must!,"My wife and I visited The Ledbury last night  with our friends and it was absolutely perfect. 

Whilst the restaurant is Michelin starred the casual approach and fabulous food is perfect. 

We chose the 6 course tasting menu with cheese supplement for the table and...More"
November 2019,Wow really boring uninspiring menu,"We have been going to the Ledbury for many years. We have loves our meals over these years. Tonite's meal was boring, uninspired and a bad combination of really awful seafood and deer.  I would rather have had fish and chips at the Westbury than...More"
November 2019,Outstanding,Everything about the Ledbury was as good as you would expect from its repuation.  Simply outstanding with the highest quality of food executed with the greatest attention to detail.  Of particular note was the service - spot on and attentive without any any way being...More
November 2019,Fabulous anniversary lunch,"We celebrated our wedding anniversary with a lovely lunch at the Ledbury, which was a wonderful experience.  The food was truly amazing - fabulous flavours and textures.  The wine flight worked really well too.  The service was impeccable - very friendly and efficient without being...More"
November 2019,A very special place! Attentive,"A very special place! Attentive service and wonderful, imaginative dishes. Book now, the wait will be worth it!"
November 2019,Best ever yum,"Bets spot for brunch and wines, was with the girls and we ended up here all day. Only come if you are hungry!"
February 2019,Superb,"Fully deserves its two stars. We loved our dinner at The Ledbury. Great tasting menu, paired wine and service. Highly recommended,"
August 2019,Great experience!,I had dinner at this place and my experience was fantastic. The food was AMAZING and the wine pairing was perfect. The location is beautiful and very elegant and the service was superb! 5 stars from me!!
November 2019,Worth every penny...,"Had the tasting menu with wine pairing, absolutely amazing. Having done fine dining all over the world, this rates right up!! Jack and Tom took care of us and they did not disappoint."
October 2019,Very talented chef and team,The Ledbury has a great reputation and currently holds 2 Michellin stars. Great premises in Notting Hill- stylish and elegant but not the least bit stuffy. Chef is an australian called Bret Graham who sets the very high standards. Tasting menu is £165 or £275...More
August 2022,Dinner,Absolutely amazing experience from start to finish. The professionalism of the staff matches the quality of the food. Would highly recommend if in London
August 2022,If I could give 10 stars I would!!!,"Our favourite restaurant makes an outstanding comeback. Brett is a clever, clever man. The food was both beautiful and perfectly balanced. The staff were warm, fun and attentive. And the head chef was out chatting to people throughout the evening. A very unpretentious but very...More"
